str_yes|是 。 
str_npc3_signup_response_2|说 实 话 ， 我 觉 得 你 毫 无 用 处 。 回 你 主 人 那 儿 去 ， 奴 隶 。 
str_npc4_signup_response_2|说 实 话 ， 我 们 不 习 惯 雇 你 这 样 的 人 。 日 安 ， 先 生 。 
str_npc5_signup_response_2|说 实 话 ， 再 一 想 ， 我 不 想 雇 一 个 被 放 逐 的 人 。 
str_npc6_signup_response_2|抱 歉 ， 我 不 需 要 你 。 我 不 想 让 你 跟 着 。 
str_npc7_signup_response_2|说 实 话 ， 再 一 想 ， 你 听 起 来 可 能 带 来 麻 烦 。 祝 你 好 运 。 
str_npc8_signup_response_2|嗯 ， 你 最 好 去 别 处 碰 运 气 。 
str_npc9_signup_response_2|先 生 ， 你 错 了 。 在 我 的 盾 墙 里 ， 我 们 看 重 勇 气 与 技 艺 ， 而 非 出 身 。 
str_npc10_signup_response_2|我 不 会 让 任 何 人 因 不 是 撒 克 逊 人 而 丧 命 。 日 安 。 
str_npc11_signup_response_2|抱 歉 ， 女 士 。 我 想 起 我 们 已 有 足 够 的 吟 游 诗 人 ， 或 许 你 该 另 寻 他 人 。 
str_npc12_signup_response_2|战 场 不 是 学 者 该 待 的 地 方 ， 也 许 你 该 另 找 工 作 。 
str_npc13_signup_response_2|我 的 战 士 已 足 够 自 律 ， 不 需 要 你 这 样 的 人 。 日 安 ， 先 生 。 
str_npc14_signup_response_2|说 实 话 ， 再 一 想 ， 一 个 过 于 渴 求 荣 誉 与 女 色 的 正 规 斗 士 太 危 险 。 
str_npc15_signup_response_2|你 知 道 ， 现 在 一 想 ， 近 期 内 我 都 不 需 要 你 的 本 事 了 。 
str_npc16_signup_response_2|说 实 话 ， 我 更 喜 欢 不 是 宗 教 狂 的 人 。 
str_npc1_payment|我 会 对 您 大 有 用 处 ， {reg59?夫 人 :先 生 }， 您 尽 管 放 心 。 临 走 前 再 求 您 一 件 事 ， 能 借 我 {reg3}银 便 士 吗 ？ 说 来 惭 愧 ， 我 在 这 酒 馆 住 了 几 周 ， 欠 了 点 债 ， 老 板 们 再 也 不 信 我 曾 吹 嘘 的 满 袋 银 子 。 您 懂 的 ， 要 是 他 们 见 我 没 结 账 就 跟 您 走 ， 事 情 怕 要 闹 大 。 
str_npc2_payment|在 入 队 前 ， 我 得 先 拿 300 枚 钱 币 。 
str_npc3_payment|那 我 就 为 您 上 阵 杀 敌 ！ 
str_npc4_payment|动 身 前 ， 能 否 借 我 {reg3}银 便 士 ？ 我 在 {s20}的 当 铺 押 了 件 传 家 宝 ， 想 临 走 前 赎 回 来 。 
str_npc5_payment|多 谢 。 为 表 诚 意 ， 请 再 给 我 {reg3}银 便 士 ， 好 置 办 盔 甲 武 器 ， 履 行 我 对 您 的 新 职 责 。 
str_npc6_payment|入 队 前 ， 我 要 300 枚 钱 币 作 报 酬 。 
str_npc7_payment|那 好 ， 我 跟 你 走 ， 但 得 先 付 {reg3}银 便 士 。 您 不 会 让 我 白 干 吧 ？ 
str_npc8_payment|那 我 就 为 您 上 阵 杀 敌 ！ 
str_npc9_payment|那 我 就 为 您 上 阵 杀 敌 ！ 
str_npc10_payment|您 真 慷 慨 ， 但 入 队 前 能 借 我 {reg3}银 便 士 ？ 我 得 买 套 配 得 上 我 贵 族 身 份 的 衣 服 。 最 近 落 魄 ， 这 外 套 破 旧 不 堪 ， 我 可 不 能 让 普 通 兵 把 我 当 成 他 们 一 伙 。 
str_npc11_payment|好 消 息 ， 不 过 还 有 一 事 ， 大 人 。 我 在 {s20}有 个 女 人 ， 是 个 风 流 寡 妇 ， 她 说 怀 了 我 的 孩 子 。 该 死 ， 她 是 个 布 立 吞 娘 们 ， 但 我 想 临 走 前 给 她 点 钱 … … 为 了 孩 子 。 就 算 孩 子 只 有 一 半 撒 克 逊 血 统 ， 也 该 有 条 活 路 。 您 能 匀 {reg3}银 便 士 吗 ？ 
str_npc12_payment|当 然 ， {reg59?美 人 :帅 哥 }， 可 入 队 前 我 要 {reg3}银 便 士 。 您 知 道 的 ， 算 我 一 路 照 看 您 的 工 钱 。 
str_npc13_payment|入 队 前 ， 我 得 把 住 店 之 类 欠 下 的 账 结 清 。 您 能 帮 我 付 吗 ？ 300 枚 就 够 了 。 
str_npc14_payment|啊 ， 最 后 一 件 事 。 入 您 麾 下 前 ， 我 要 {reg3}银 便 士 的 见 面 礼 。 我 的 规 矩 ： 不 见 银 子 不 投 效 。 
str_npc15_payment|入 队 前 ， 还 有 件 小 事 — — 我 在 这 儿 欠 了 {reg3}银 便 士 。 既 然 咱 俩 的 友 谊 已 传 为 佳 话 ， 您 就 替 我 付 了 吧 ？ 
str_npc16_payment|好 。 顺 便 说 ， 作 为 能 工 巧 匠 ， 我 得 先 拿 签 字 费 。 {reg3}银 便 士 就 公 道 。 
str_npc1_payment_response|入 队 前 ， 我 得 先 拿 200 枚 钱 币 。 
str_npc2_payment_response|好 ， 这 是 {reg3}银 便 士 。 现 在 归 队 。 
str_npc3_payment_response|我 们 改 日 再 谈 。 
str_npc4_payment_response|好 的 ， 这 是 {reg3}银 便 士 。 
str_npc5_payment_response|好 吧 … … 这 是 {reg3}银 便 士 ， 你 的 第 一 笔 报 酬 。 
str_npc6_payment_response|我 们 改 日 再 谈 。 
str_npc7_payment_response|不 ， 当 然 不 会 。 这 是 {reg3}银 便 士 。 
str_npc8_payment_response|哦 ， 我 可 不 是 穷 光 蛋 ， 伟 大 的 战 士 。 这 是 给 你 的 {reg3}银 便 士 。 
str_npc9_payment_response|很 好 ， 这 是 {reg3}银 便 士 。 
str_npc10_payment_response|哈 哈 ， 当 然 。 这 是 {reg3}银 便 士 。 
str_npc11_payment_response|很 好 ， 这 是 {reg3}银 便 士 。 我 们 继 续 上 路 吧 。 别 再 … … 啊 ， 算 了 ， 当 我 没 说 。 
str_npc12_payment_response|我 们 改 日 再 谈 。 
str_npc13_payment_response|好 的 ， 这 是 {reg3}银 便 士 。 我 们 的 盾 墙 永 远 欢 迎 你 。 
str_npc14_payment_response|当 然 ， 这 是 {reg3}银 便 士 。 尽 快 准 备 出 发 。 
str_npc15_payment_response|好 的 ， 这 是 {reg3}银 便 士 。 很 高 兴 你 与 我 们 同 行 。 
str_npc16_payment_response|我 们 改 日 再 谈 。 
str_npc1_morality_speech|喂 — — 大 人 。 请 别 误 会 ， 可 日 子 本 就 艰 难 ， 我 们 {s21}实 在 有 些 过 分 。 大 人 ， 若 您 不 介 意 ， 往 后 还 请 三 思 。 
str_npc2_morality_speech|我 不 在 乎 {s21}。 一 个 被 贴 上 懦 夫 标 签 的 人 ， 绝 不 会 得 到 盾 墙 的 尊 重 与 服 从 。 
str_npc3_morality_speech|或 许 我 不 该 多 嘴 ， {reg59?女 士 :先 生 }， 但 我 得 承 认 ， 我 们 {s21}仍 让 我 震 惊 。 战 争 固 然 残 酷 ， 却 不 必 让 它 更 残 酷 。 
str_npc4_morality_speech|苏 格 兰 人 才 不 会 在 乎 {s21}。 若 您 执 意 如 此 ， 休 怪 我 翻 脸 。 
str_npc5_morality_speech|恕 我 直 言 ， 大 人 。 {s21}绝 非 好 事 。 您 的 首 要 职 责 是 照 顾 盾 墙 里 的 弟 兄 。 他 们 只 求 吃 饱 、 拿 饷 、 有 战 利 品 ， 以 及 别 让 他 们 白 白 送 命 。 
str_npc6_morality_speech|听 我 说 ， {playername}。 你 知 道 ， 我 忠 心 耿 耿 ， 也 坚 守 信 条 。 我 会 赎 清 罪 孽 。 我 从 未 想 过 要 {s21}。 
str_npc7_morality_speech|阁 下 ， 我 不 愿 看 到 我 们 {s21}。 这 等 行 径 与 寻 常 山 贼 首 领 无 异 ， 丝 毫 不 顾 部 下 死 活 。 
str_npc8_morality_speech|看 到 您 决 定 {s21}， 我 深 感 痛 心 。 战 死 沙 场 是 荣 耀 ， 可 若 盾 墙 由 懦 夫 率 领 ， 那 便 是 耻 辱 。 
str_npc9_morality_speech|{reg59?女 士 :先 生 }， {s21}并 非 我 的 作 风 。 我 家 族 的 人 宁 死 也 不 受 辱 ， 请 别 让 我 因 追 随 您 而 蒙 羞 。 
str_npc10_morality_speech|阁 下 ， 请 恕 我 直 言 。 看 到 我 们 {s21}， 我 心 里 难 受 。 他 们 只 是 些 想 谋 生 的 淳 朴 百 姓 。 若 您 能 对 这 些 可 怜 人 手 下 留 情 ， 我 会 好 受 许 多 。 
str_npc11_morality_speech|抱 歉 ， {reg59?美 人 :阁 下 }， 我 们 {s21}可 不 好 。 士 兵 对 首 领 的 最 低 要 求 ， 不 过 是 管 饭 、 发 饷 ， 并 尽 量 让 他 们 少 掉 块 肉 。 
str_npc12_morality_speech|阁 下 ， 我 不 乐 于 看 到 我 们 {s21}。 我 愿 做 您 的 雅 尔 亲 卫 ， 却 不 愿 沦 为 土 匪 。 求 您 让 我 们 多 些 怜 悯 。 
str_npc13_morality_speech|我 不 愿 {s21}。 若 背 负 懦 夫 之 名 ， 士 兵 便 不 会 真 正 敬 畏 你 。 
str_npc14_morality_speech|阁 下 ， 若 能 避 免 ， 我 宁 愿 不 {s21}。 天 地 狭 小 ， 名 声 珍 贵 。 要 我 继 续 尊 敬 您 ， 已 愈 发 困 难 。 
str_npc15_morality_speech|{reg59?女 士 :先 生 }， 容 我 直 言 ， 任 何 有 脑 子 的 指 挥 官 都 不 会 让 盾 墙 {s21}。 望 您 勿 怪 我 直 率 。 
str_npc16_morality_speech|阁 下 ， 我 不 喜 欢 {s21}。 神 明 不 悦 此 等 行 径 。 若 不 听 我 劝 诫 ， 您 必 将 遭 祸 。 
str_npc1_2ary_morality_speech|阁 下 ， 您 知 道 ， 我 不 反 对 我 们 {s21}。 留 得 青 山 在 ， 才 能 再 战 。 
str_npc2_2ary_morality_speech|朋 友 {playername}， 见 你 刚 才 {s21}， 我 心 里 发 凉 。 你 能 对 他 们 失 信 ， 自 然 也 能 对 我 失 信 ， 我 这 么 想 。 
str_npc3_2ary_morality_speech|{reg59?女 士 :先 生 }， 我 不 乐 意 看 到 我 们 {s21}。 设 法 避 免 流 血 并 非 耻 辱 。 
str_npc4_2ary_morality_speech|我 觉 得 你 {s21}无 可 厚 非 。 乱 世 求 生 ， 自 当 用 尽 手 段 。 
str_npc5_2ary_morality_speech|你 决 定 {s21}是 明 智 之 举 。 避 免 无 谓 流 血 并 不 丢 人 。 
str_npc6_2ary_morality_speech|{playername}， 你 或 许 想 {s21}， 但 我 绝 不 参 与 。 那 非 我 救 赎 之 道 。 
str_npc7_2ary_morality_speech|你 决 定 {s21}是 明 智 之 举 。 避 免 无 谓 流 血 并 不 丢 人 。 
str_npc8_2ary_morality_speech|你 决 定 {s21}是 明 智 之 举 。 避 免 无 谓 流 血 并 不 丢 人 。 
str_npc9_2ary_morality_speech|你 决 定 {s21}是 明 智 之 举 。 避 免 无 谓 流 血 并 不 丢 人 。 
str_npc10_2ary_morality_speech|你 决 定 {s21}是 明 智 之 举 。 避 免 无 谓 流 血 并 不 丢 人 。 
str_npc11_2ary_morality_speech|我 对 您 决 定 {s21}仍 心 存 疑 虑 。 我 受 过 的 教 导 告 诉 我 ， 这 是 种 不 光 彩 的 做 法 。 我 很 困 惑 ， 但 这 应 该 只 是 偶 发 事 件 ， 对 吗 ？ 
str_npc12_2ary_morality_speech|我 认 为 您 决 定 {s21}十 分 勇 敢 。 我 支 持 您 ， 留 得 青 山 在 ， 不 怕 没 柴 烧 。 
str_npc13_2ary_morality_speech|阁 下 ， 您 不 必 为 {s21}耿 耿 于 怀 。 军 队 本 就 该 听 命 于 主 将 ， 艰 难 困 苦 本 就 是 士 兵 的 宿 命 。 
str_npc14_2ary_morality_speech|队 长 ， 您 知 道 ， 我 不 介 意 我 们 {s21}。 人 为 了 活 下 去 什 么 都 做 得 出 来 ， 换 作 他 们 也 会 如 此 。 
str_npc15_2ary_morality_speech|将 军 ， 说 实 话 ， 见 您 刚 才 {s21}， 我 心 里 发 凉 。 您 能 对 他 们 失 信 ， 也 能 对 我 失 信 ， 我 就 是 这 么 想 的 。 
str_npc16_2ary_morality_speech|你 决 定 {s21}是 明 智 之 举 。 避 免 无 谓 流 血 并 不 丢 人 。 
str_npc1_personalityclash_speech|我 认 为 您 决 定 {s21}很 勇 敢 。 设 法 避 免 流 血 并 不 丢 人 。 
str_npc2_personalityclash_speech|阁 下 ， 恕 我 直 言 ， 我 有 点 厌 倦 {s11}。 她 摆 出 一 副 高 高 在 上 的 样 子 ， 好 像 比 您 卑 微 的 仆 人 卡 约 还 高 贵 。 
str_npc3_personalityclash_speech|{reg59?女 士 :先 生 }， 您 记 得 ， 我 曾 在 里 伯 生 活 。 我 敬 重 爱 蜜 酒 与 姑 娘 的 汉 子 ， 却 受 不 了 那 些 严 苛 难 忍 的 人 。 我 说 的 就 是 {s11}。 
str_npc4_personalityclash_speech|阁 下 ， 在 我 看 来 ， {s11}是 个 可 怕 的 家 伙 。 他 多 次 想 把 我 骗 上 床 ， 夜 里 还 跟 踪 独 行 的 我 。 说 真 的 ， 我 害 怕 他 。 
str_npc5_personalityclash_speech|{s11}公 然 对 我 不 敬 。 若 他 继 续 如 此 ， 我 会 杀 了 他 。 提 醒 您 一 声 ， 免 得 您 想 提 前 插 手 。 
str_npc6_personalityclash_speech|阁 下 ， 打 扰 一 下 。 {s11}似 乎 把 我 当 成 普 通 山 贼 ， 只 因 我 曾 在 自 家 领 地 内 收 取 过 路 商 队 的 战 利 品 。 
str_npc7_personalityclash_speech|{playername}， 请 原 谅 ， 我 再 也 忍 不 住 了 。 那 个 娼 妇 {s11}— — 每 次 见 我 就 伸 出 五 指 对 着 我 ， 这 是 农 民 驱 邪 的 手 势 。 
str_npc8_personalityclash_speech|阁 下 ， 我 已 尽 力 忍 受 您 随 从 的 粗 言 秽 语 和 肮 脏 习 惯 ， 但 那 个 自 称 {s11}的 家 伙 实 在 忍 无 可 忍 。 
str_npc9_personalityclash_speech|告 诉 您 ， 我 受 不 了 那 个 傲 慢 的 {s11}， 他 自 诩 “ 哲 人 ” 。 那 南 方 耗 子 满 口 他 所 谓 的 “ 拉 丁 ” 鬼 话 ， 还 背 地 里 笑 我 听 不 懂 。 
str_npc10_personalityclash_speech|{reg59?女 士 :先 生 }， {s11}是 个 下 作 的 牛 皮 匠 ， 对 他 人 勇 武 的 敬 意 还 不 如 一 只 乌 鸦 。 我 早 听 腻 了 他 吹 嘘 凭 军 纪 就 能 横 扫 战 场 。 
str_npc11_personalityclash_speech|阁 下 ， 抱 歉 打 扰 ， 我 只 想 告 诉 您 我 受 不 了 {s11}那 家 伙 。 他 总 自 称 是 什 么 国 王 的 侍 从 。 
str_npc12_personalityclash_speech|恕 我 直 言 ， 我 不 能 再 沉 默 。 不 是 对 您 ， {reg59?美 人 :俊 哥 }。 那 人 {s11}— — 愚 蠢 、 傲 慢 又 肥 硕 。 他 嗜 血 好 战 ， 却 不 懂 战 争 的 荣 誉 与 诗 意 ， 还 学 吟 游 诗 人 。 他 还 对 我 动 手 动 脚 … … 
str_npc13_personalityclash_speech|我 的 {reg59?女 士 :阁 下 }， 那 个 蠢 货 {s11}四 处 造 谣 ， 说 我 不 过 是 个 胆 小 鬼 ， 不 配 上 阵 。 
str_npc14_personalityclash_speech|阁 下 ， 我 快 忍 不 住 亲 手 掐 死 那 只 自 称 {s11}的 虫 子 。 那 可 笑 的 武 夫 根 本 不 懂 ， 没 有 纪 律 的 蛮 勇 只 会 带 来 失 败 与 耻 辱 。 
str_npc15_personalityclash_speech|打 扰 一 下 ， 希 望 你 不 会 介 意 我 直 言 ， 依 我 看 ， {s11}对 队 伍 是 个 威 胁 。 他 只 在 乎 宗 教 和 地 狱 ， 对 权 威 和 军 事 艺 术 的 基 本 原 则 毫 无 敬 意 。 
str_npc16_personalityclash_speech|只 想 让 你 知 道 — — {s11}身 上 透 着 股 邪 气 。 战 前 他 总 在 地 上 乱 画 怪 符 ， 还 一 直 自 言 自 语 。 
str_npc1_personalityclash_speech_b|她 又 不 是 什 么 大 人 物 ， 刚 才 竟 敢 叫 我 离 她 远 点 ， 她 根 本 没 这 资 格 。 
str_npc2_personalityclash_speech_b|我 可 不 想 听 {s11}吹 嘘 禁 欲 纯 洁 有 多 正 义 。 我 是 渴 望 踏 入 瓦 尔 哈 拉 的 战 士 ， 不 是 他 那 种 圣 人 。 
str_npc3_personalityclash_speech_b|我 知 道 军 队 通 常 是 男 人 的 天 下 ， 但 我 也 该 得 到 尊 重 。 我 不 是 任 何 人 的 妓 女 ， 希 望 你 别 介 意 我 这 么 说 。 
str_npc4_personalityclash_speech_b|这 个 撒 克 逊 人 ， {s11}， 就 是 在 找 死 ， 仅 此 而 已 。 
str_npc5_personalityclash_speech_b|我 告 诉 他 ， 要 是 战 士 之 道 让 他 这 么 难 受 ， 就 去 当 牧 师 或 乞 丐 ， 省 得 为 这 些 事 发 愁 。 希 望 你 别 介 意 我 这 么 说 。 
str_npc6_personalityclash_speech_b|我 知 道 自 己 不 是 好 人 ， 但 我 在 忏 悔 ， 不 该 被 当 成 女 巫 迷 信 的 靶 子 。 我 觉 得 她 身 上 有 魔 鬼 的 血 ， 你 该 知 道 这 事 。 
str_npc7_personalityclash_speech_b|我 不 在 乎 他 饭 后 围 着 营 火 剔 牙 喝 那 黏 糊 糊 的 啤 酒 时 怎 么 瞪 我 ， 可 我 不 能 忍 他 老 说 自 己 比 我 更 会 追 踪 ， 这 纯 属 胡 说 。 他 下 作 、 无 知 ， 十 足 的 蠢 小 子 ， 追 踪 还 是 别 的 什 么 都 比 不 上 我 。 我 不 想 跟 这 种 人 同 行 。 
str_npc8_personalityclash_speech_b|我 确 实 不 会 读 写 ， 也 不 会 拉 丁 语 ， 但 我 比 {s11}更 懂 生 活 和 战 斗 。 像 我 这 样 的 伟 大 战 士 ， 不 该 被 弱 不 禁 风 的 书 生 嘲 笑 。 我 敬 你 才 没 当 场 割 了 他 喉 咙 ， 只 当 给 你 提 个 醒 。 
str_npc9_personalityclash_speech_b|于 是 我 反 问 他 ， 若 他 和 他 的 人 真 比 法 兰 克 人 更 有 纪 律 ， 为 何 打 不 过 丹 麦 人 ， 反 而 躲 到 他 鄙 视 的 撒 克 逊 人 里 ？ 他 答 不 上 来 ， 脸 涨 得 通 红 ， 把 我 祖 宗 十 八 代 骂 了 个 遍 ， 差 点 拔 剑 决 斗 。 他 自 称 有 纪 律 ， 我 看 你 该 再 管 教 他 一 下 。 
str_npc10_personalityclash_speech_b|谁 都 知 道 威 尔 士 人 没 有 贵 族 血 统 ， 两 者 根 本 水 火 不 容 。 任 何 冒 充 贵 族 的 威 尔 士 人 都 是 蠢 得 不 可 理 喻 。 总 之 ， 我 刚 才 说 话 可 能 冲 了 点 ， 比 如 “ 他 要 是 真 贵 族 ， 那 他 爹 准 是 撒 克 逊 人 ” 。 他 好 像 生 气 了 ， 我 觉 得 你 该 知 道 。 
str_npc11_personalityclash_speech_b|他 只 会 带 来 不 幸 和 悲 伤 ， 我 不 喜 欢 他 ， 也 不 该 让 他 跟 着 。 我 告 诉 他 盾 女 必 须 是 处 女 ， 他 却 蠢 到 谈 情 说 爱 。 我 再 也 忍 不 了 ， 就 这 样 。 抱 歉 打 扰 你 ， {reg59?美 人 :好 汉 }。 
str_npc12_personalityclash_speech_b|那 蛮 子 理 解 不 了 医 术 的 美 妙 ， 宁 肯 伤 口 烂 死 也 不 让 我 救 ， 这 可 不 是 我 的 错 。 大 人 ， 我 受 够 了 这 群 忘 恩 负 义 的 蠢 货 。 
str_npc13_personalityclash_speech_b|那 蠢 货 {s11}竟 敢 嘲 笑 我 族 好 战 ， 还 暗 示 我 因 败 给 丹 麦 人 才 来 英 格 兰 ， 简 直 胡 说 。 我 不 能 容 忍 有 人 在 众 人 面 前 质 疑 我 的 方 法 和 信 仰 ， 也 不 会 侍 奉 容 忍 这 种 不 服 从 的 领 主 。 谢 你 让 我 把 话 说 完 。 
str_npc14_personalityclash_speech_b|她 夜 里 多 次 想 溜 进 我 帐 篷 ！ 逮 着 机 会 就 跟 我 独 处 ， 想 引 我 做 不 敢 说 出 口 的 事 。 请 告 诉 那 放 肆 丫 头 ， 我 只 爱 美 貌 女 子 ， 跟 她 这 种 人 没 半 点 干 系 。 
str_npc15_personalityclash_speech_b|我 亲 耳 听 见 他 对 战 士 说 ， 战 前 围 城 准 备 全 是 无 用 ， 唯 有 顺 上 帝 之 意 才 能 得 胜 。 我 虽 也 信 基 督 ， 可 单 凭 虔 诚 从 未 让 哪 支 军 队 稳 赢 。 你 该 立 刻 让 他 闭 嘴 。 
str_npc16_personalityclash_speech_b|我 怕 巫 术 ， 便 问 {s11}， 他 却 让 我 少 管 闲 事 。 我 翻 他 行 李 ， 找 到 一 枚 异 端 奥 丁 护 符 。 那 东 西 邪 门 ， 定 是 魔 鬼 之 物 。 为 了 我 们 永 生 的 灵 魂 ， 必 须 除 掉 {s11}。 
str_npc1_personalityclash2_speech|大 人 ， 无 意 冒 犯 ， 可 我 受 够 {s11}了 。 他 老 骂 我 是 注 定 下 地 狱 的 疯 傻 小 子 。 
str_npc2_personalityclash2_speech|{reg59?夫 人 :阁 下 }， 若 您 不 介 意 ， 请 别 把 我 安 排 在 {s11}附 近 ， 免 得 我 忍 不 住 拿 他 祭 神 。 
str_npc3_personalityclash2_speech|{reg59?女 士 :阁 下 }， 自 从 我 加 入 你 的 盾 墙 ， 我 就 努 力 学 着 像 一 名 真 正 的 士 兵 那 样 生 活 — — 这 比 当 奴 隶 强 多 了 — — 也 学 着 遵 守 战 士 的 准 则 ， 但 你 手 下 有 些 人 并 不 把 我 当 同 袍 看 待 。 
str_npc4_personalityclash2_speech|我 告 诉 过 你 ， 我 讨 厌 皮 克 特 人 ， 可 你 却 让 {s11}加 入 。 那 就 转 告 她 ： 她 跟 我 说 话 时 ， 最 好 记 住 自 己 不 过 是 个 皮 克 特 仆 役 ， 而 我 是 苏 格 兰 人 。 
str_npc5_personalityclash2_speech|阁 下 ， 该 割 掉 {s11}的 舌 头 ， 再 狠 狠 抽 她 一 顿 鞭 子 。 
str_npc6_personalityclash2_speech|你 看 见 上 次 战 斗 里 的 {s11}了 吗 ？ 他 对 着 倒 在 地 上 、 毫 无 还 手 之 力 的 敌 人 冷 嘲 热 讽 ， 讥 笑 他 们 的 出 身 和 与 我 们 为 敌 的 愚 蠢 。 他 正 变 得 堕 落 而 软 弱 ， 就 像 他 那 一 族 人 一 样 。 
str_npc7_personalityclash2_speech|阁 下 ， 我 受 够 了 那 个 叫 {s11}的 傲 慢 家 伙 。 他 因 为 我 是 个 追 踪 者 ， 更 因 为 我 是 个 女 人 ， 就 觉 得 我 不 如 他 。 没 错 ， 女 人 离 开 丈 夫 和 家 园 确 实 少 见 ， 可 在 我 的 故 乡 皮 克 特 ， 女 人 虽 选 择 不 多 ， 却 总 比 那 些 愚 昧 之 地 多 些 出 路 。 
str_npc8_personalityclash2_speech|阁 下 ， {s11}这 丫 头 无 礼 至 极 。 我 本 想 以 礼 相 待 ， 甚 至 示 好 ， 她 却 拒 人 千 里 。 这 小 妮 子 真 把 自 己 当 战 士 ， 而 不 是 营 里 的 奴 隶 。 
str_npc9_personalityclash2_speech|{reg59?女 士 :阁 下 }， 恕 我 直 言 ， 那 私 生 子 {s11}根 本 不 懂 规 矩 。 上 次 战 斗 ， 他 抢 在 我 前 头 ， 把 我 盯 上 的 敌 人 给 砍 了 。 
str_npc10_personalityclash2_speech|阁 下 ， 我 想 问 一 句 ： 这 盾 墙 到 底 是 你 说 了 算 ， 还 是 {s11}？ 
str_npc11_personalityclash2_speech|{reg59?我 的 美 人 :帅 哥 }， 我 觉 得 咱 们 不 该 再 留 {s11}这 号 人 。 求 你 听 听 我 心 底 的 话 。 
str_npc12_personalityclash2_speech|阁 下 ， 我 实 在 受 不 了 {s11}的 无 知 。 上 次 我 替 伤 员 动 刀 ， 用 鸦 片 酊 止 痛 、 用 蜂 蜜 膏 敷 伤 ， 他 竟 在 一 旁 冷 嘲 热 讽 。 
str_npc13_personalityclash2_speech|我 必 须 说 ， {s11}的 存 在 让 我 作 呕 。 他 是 丹 麦 人 ， 竟 拿 我 族 与 丹 麦 人 那 场 惨 败 说 笑 ， 明 知 我 当 时 就 在 阵 中 。 
str_npc14_personalityclash2_speech|{reg59?女 士 :先 生 }， {s11}是 个 糟 糕 的 同 伴 。 我 们 盾 墙 的 荣 耀 将 被 世 代 传 颂 ， 他 不 配 留 名 其 中 。 
str_npc15_personalityclash2_speech|将 军 ， 我 得 质 疑 {s11}的 医 术 。 上 次 战 后 他 替 人 疗 伤 ， 我 忍 不 住 提 醒 他 ： 医 圣 希 波 克 拉 底 常 主 张 用 甜 菜 根 蒸 馏 液 来 纠 正 失 血 造 成 的 体 液 失 衡 。 
str_npc16_personalityclash2_speech|若 你 尚 敬 畏 上 帝 ， 就 听 我 警 告 ： 那 名 为 {s11}的 恶 魔 必 须 立 刻 处 死 。 
str_npc1_personalityclash2_speech_b|我 对 当 基 督 徒 没 兴 趣 ； 在 我 看 来 ， 这 牧 师 只 会 带 来 厄 运 。 不 如 把 他 烧 了 。 
str_npc2_personalityclash2_speech_b|敌 军 压 境 时 ， 他 居 然 说 ： “ 真 正 的 战 士 不 会 在 战 场 上 喝 蜜 酒 。 ” 下 次 我 就 站 一 边 ， 看 他 挨 矛 穿 肚 。 
str_npc3_personalityclash2_speech_b|上 次 大 胜 后 ， 我 在 尸 堆 里 翻 战 利 品 ， 那 个 弗 里 斯 人 雷 因 哈 德 却 把 我 推 开 ， 说 像 我 这 种 刚 获 准 随 军 的 奴 隶 丫 头 没 资 格 分 赃 。 可 我 既 然 在 盾 墙 里 并 肩 作 战 ， 就 该 像 其 他 战 士 一 样 分 到 战 利 。 就 算 经 验 不 足 ， 我 也 把 命 押 上 了 。 
str_npc4_personalityclash2_speech_b|你 终 究 得 收 拾 那 北 方 女 人 。 她 得 认 清 身 份 ， 否 则 就 挨 鞭 子 。 
str_npc5_personalityclash2_speech_b|据 我 所 知 ， 她 不 过 是 个 女 人 。 昨 晚 我 让 她 给 我 盛 碗 好 炖 肉 ， 她 却 回 绝 ， 让 我 自 己 去 拿 。 当 时 我 太 累 ， 没 空 扇 她 耳 光 ， 便 忍 了 ， 但 往 后 我 绝 不 容 这 种 无 礼 。 
str_npc6_personalityclash2_speech_b|我 们 盾 墙 里 容 不 下 那 杂 种 。 战 场 不 是 嘲 弄 之 地 ； 真 正 的 战 士 不 会 羞 辱 倒 下 的 敌 人 。 请 让 我 宰 了 这 蠢 货 ， 用 他 的 血 安 抚 我 受 折 磨 的 灵 魂 。 
str_npc7_personalityclash2_speech_b|他 还 坚 持 让 我 叫 他 “ 大 人 ” ， 而 不 是 用 他 那 可 笑 的 名 字 。 我 告 诉 你 ， 总 有 一 天 ， 等 我 拉 起 自 己 的 战 士 队 伍 ， 我 会 把 他 揪 出 来 ， 问 问 他 ， 当 我 的 斧 头 嵌 进 他 脑 袋 时 ， 他 还 能 算 多 厉 害 的 战 士 。 
str_npc8_personalityclash2_speech_b|我 们 清 理 上 一 场 战 斗 的 武 器 时 ， 我 说 她 长 得 俊 ， 愿 意 把 她 介 绍 给 我 的 佃 户 之 一 。 我 告 诉 她 ， 我 自 己 虽 想 娶 妻 ， 但 只 娶 自 由 民 。 我 以 为 这 是 极 慷 慨 的 提 议 ： 一 个 男 人 ， 一 块 地 。 一 个 随 军 奴 隶 哪 来 那 么 多 机 会 ？ 可 她 非 但 不 谢 ， 反 而 转 身 就 走 ， 一 句 话 也 不 说 。 若 非 看 在 你 的 统 领 份 上 ， 我 当 场 就 要 教 她 点 规 矩 。 你 真 该 好 好 管 教 你 的 奴 隶 。 
