qstr_Breaking_camp...|终止宿营。
qstr___He_takes_the_letter|——他拿起信，慢慢读了起来。当他读完的时候，他盯着你看。——
qstr_Your_men_think_that_you_r|你的人认为你将信息告诉了撒克逊人，这违反了你和比约恩的约定。
qstr_Your_men_think_that_you_h|你的人认为你的言行举止坚定地守护了你对比约恩的许诺。
qstr___His_face_tired_and|——他的脸，疲惫又肮脏，因为这个消息有了快活的神色，好像他很高兴听到这消息。——
qstr_The_morale_of_the_de|守军听了你的话士气振奋。
qstr___His_face_thin_and_|——他的脸，消瘦又肮脏，在如此长的围困之后，更加显得疲惫。——
qstr_The_morale_of_the_def|守军听了你的话士气消沉。
qstr___His_face_shows_ala|——他的脸上写满了警惕。——
qstr___Three_men_well_arm|——三个男人，全副武装，在你说话的时候走上前来。 ——
qstr___Ivar_looks_at_you_|——艾瓦用深邃的眼光盯着你，打量着你，试图衡量你能带来的好处，或危险。——
qstr___Ivar_looks_at_you_w|——艾瓦用寒冰一般的目光盯着你，考量着你是不是在说笑。他的嘴角咧成一道细缝，脸上的肌肉紧绷。他好像要说什么，但欲言又止。你不知道他是看你顺眼，还是已经将你列为他的敌人。——
qstr___Ivar_looks_at_you_wi|——艾瓦用寒冰一般的目光盯着你，细细地打量着你。——
qstr___Ivar_smiles_but_th|——艾瓦笑了，但是他的笑似乎不含多少善意。他的嘴角微微翘起，显得又是在表示轻蔑，又是在进行恐吓。 ——
qstr_Return_to_{s11}_and_|回到{s11}身边并且告诉他，他的兄弟同意和撒克逊人会面。
qstr___He_takes_you_aside|——他将你拉到一边，他的嘴角翘起，脸色深红，带着狂怒的神情看着你。——
qstr___He_looks_carefully|——他细细地看了你几秒，用他蛇蝎一般的眼神。——
qstr___He_looks_suspiciou|——他怀疑地看着你。——
qstr_Collect_more_than_tw|为西格德·拉格纳逊征集至少两百人。
qstr_Collect_two_hundred_|为{s11}征集两百人。
qstr___He_looks_surprised|——他看起来很惊讶。——
qstr_You_don_t_trust_me!_|你不信任我，我明白。但是对我来说，找到母亲十分重要。牛颈斯温攻击了我乘坐的那艘船并且绑架了我的母亲，因为她身上带着一样东西，不过他肯定是弄错了。（冷静）
qstr_I_think_you_misunder|我认为你误解我了。如果我见不到我母亲，我是不会离开这儿的。牛颈斯温攻击了我乘坐的那艘船并且绑架了我的母亲，因为她身上带着一样东西，不过他肯定是弄错了。（谨慎）
qstr_I_m_not_an_ordinary_|我也不是一个普通的{reg59?女人:人} 。让我见到牛颈斯温和我的母亲，不然休怪我不客气！牛颈斯温攻击了我乘坐的那艘船并且绑架了我的母亲，因为她身上带着一样东西，不过他肯定是弄错了。她在哪儿？（易怒）
qstr_I_think_that_we_have|我认为我们一开始就搞错了。告诉我牛颈斯温在哪，我就再也不会再来烦扰你了，我只想见到我的母亲。牛颈斯温攻击了我乘坐的那艘船并且绑架了我的母亲，因为她身上带着一样东西，不过他肯定是弄错了。（嗜血）
qstr_Your_mother_is_the_w|你的母亲就是那个通神的人？是的，斯温将她带给了我。我问过，她是带着一样东西，一封信，他们在海上被拦截了。我和她交谈过，是的……她提到了一个叫做博多的男人，在一条叫做沃登里克号的船上，他把它给了她。你知道这个名字吗？
qstr_You_destroy_my_plans|你毁了我在道琴嘉的计划，现在你又来威胁我？你要么就是一个十足的傻瓜，要么就和你的母亲一样的疯癫！你应该感到庆幸我对你的回答还感兴趣。是的，斯温将她带给了我。我问过，她是带着一样东西，一封信，他们在海上被拦截了。我和她交谈过，是的……她提到了一个叫做博多的男人，在一条叫做沃登里克号的船上，他把它给了她。你知道这个名字吗？
qstr_Your_mother_is_the_wo|你的母亲就是那个通神的人？是的，斯温将她带给了我。我问过，她是带着一样东西，一封信，他们在海上被拦截了。我和她交谈过，是的……她提到了一个叫做博多的男人，在一条叫做沃登里克号的船上，他把它给了她。你知道这个名字吗？
qstr___He_looks_at_you._H|——他看着你，他的眼睛，他的神情，甚至他脸上的皱纹都显示出他极度的焦虑。——
qstr_{s9}_accepted_your_d|{s9} 接受了你的交易。你将博多交给了他，他告诉你他会把牛颈斯温和你的母亲送到{s3} 附近的农场。
qstr_{s9}_has_proposed_a_|{s9}提出了一个建议，在{s3}附近的农场，用博多交换牛颈斯温和你的母亲。
qstr_Note_Bodo:_you_chose|博多的笔记：你选择忠于博多，没有在农场将他与西格德作交换。
qstr_Note_Bodo:_you_chose_|博多的笔记：你已经决定将博多交给{s11}用来交换你的母亲。
qstr_Sven_is_my_goal_too.|斯温也是我的目标，我想要加入这场追捕。（冷静）
qstr_Sven_is_mine!_I_want|斯温是我的！我要他死！我要加入这场追捕。（谨慎）
qstr_No_you_listen_to_me!|不，你必须听我的！斯温将为我付出代价。把这个人交出来！（易怒）
qstr_Yes!_Those_are_just_|是的，这些才是我想听到的话！在海上攻击他！（嗜血）
qstr_Your_goal?_Who_are_y|你的目标？你以为你是谁？你有船只和人手吗？
qstr_Yours?_Sven_is_a_mur|你的人头？斯温是个刽子手，但却不是一个傻瓜。他会等着我们的，他的人都是有经验的维京海盗。如果你要去攻击他，那么就去吧。不过我希望你有足够的人手和船只。 
qstr_Beware!_You_may_be_i|喂！你在我的地盘上，但是我的好客也是有限度的，嘴巴放干净些！你需要足够多的人手和船只，还得说服他们让你领导者这场远征。
qstr_Your_enthusiasm_glad|你的执着令我感动，我希望我的人也能如此执着，但是他们都太害怕斯温了。你现在有多少人马？
qstr___He_looks_into_your|——他带着惊奇的目光直视你的眼睛。——
qstr_This_hunt_is_my_life|这场追捕就是我的生命，不达目的誓不罢休。（冷静）
qstr_Sir_I_have_lost_ever|先生，我已经失去一切了……我现在就靠着复仇的欲望生存……（谨慎）
qstr_I_shall_not_leave_un|在你给我一个机会之前，我不会离开，我要一直在你的门前等待。（易怒）
qstr_You_just_cannot_see_|先生，你现在看不出来，但是你需要我。我不害怕斯温的！（嗜血）
qstr_Alright!_Alright!_I_|好吧！好吧！我想想……嗯，我有一个想法。听我说。
qstr_Oh_by_Thor!_This_isn|哦，索尔在上！这并不必要，是吗，{reg59?姑娘:伙计} ？好吧，我会给你一次机会。
qstr_Yes_yes_you_are_very|对，对，你非常认真。好吧，我有个主意。
qstr_Someone_who_is_not_a|不害怕斯温的人都是愚蠢的，但或许我可以给你一个证明自己价值的机会。
qstr_You_have_offered_you|你向{s11}表示效忠，以此作为追捕牛颈斯温的条件。{s1}让你证明自己的能力。
qstr___He_makes_the_sign_|——他利用奥丁的标志洗脱霉运。——
qstr_{s11}_wants_the_prob|{s11}想让你到{s3}附近的修道院解决土地争议，去找卫利波洛修道院的院长。
qstr_Note:_The_jarl_has_a|笔记：雅尔让你以最好的办法解决这个争议，意味着你不能让僧侣们为难。
qstr_{s9}_sent_you_to_rec|{s9}派你到弗里斯的村庄和城镇招募15名士兵后，回来向他报告。
qstr_{s11}_wants_Thiaderd|{s11}想要杀死泰德。你需要在{s3}的蜜酒厅找雷因哈德谈话，他知道泰德躲藏在哪里。
qstr___His_eyes_show_joy_|——他的眼睛露出喜悦，很有信心地拍拍你的背部。——
qstr_{s11}_told_me_that_S|{s11}告诉我牛颈斯温是“蛇眼”西格德的手下。如果我到达丹麦，就去找{s9} 。
qstr_Your_king_has_not_wr|你的国王没有冤枉我。不过，你欺骗了我，你看来不像可以帮助我追杀斯温的人。（冷静）
qstr_Every_time_I_finish_|每次我完成你给的任务，你就会给我新的！而在此同时我的仇敌斯温还在好好地活着。（谨慎）
qstr_Jarl?_You_promise_mu|雅尔？你是这么答应的，但我肯定当我把你的背叛告知你的国王，他也会这么承诺。（易怒）
qstr__Jarl?__I_like_that_| “雅尔”？我喜欢，但要是所有的脏话都由我来干，能当“国王”就更好了！（嗜血）
qstr_I_can_only_help_you_|很简单，如果你帮助我的话，我也会帮助你。但我不是国王，我没有军队或物资去追捕斯温。你说了算。
qstr_The_difference_is_th|不同的是现在你嬴得了我的信任，我要求你做的只有一件事：杀了国王，斯温就是你的了。
qstr_The_king_will_not_be|国王不会相信你，因为你是一个陌生人。如果你敢胡说八道，我就会告诉他你是个骗子，他会下命杀了你。
qstr_I_admire_your_ambiti|我佩服你的野心，但这里只能有一位国王，而在弗里斯的丹麦人只会接纳一个像我这样知名而可信的人成为国王。
qstr_{s11}_wants_me_to_ki|{s11}为了登上{s3}的王位，让我去杀了他的叔叔，{s9}国王，然后给我士兵和资源去追杀斯温。
qstr_{s11}_wants_me_to_kil|{s11}为了能自由地登上{s3}的王位，让我去杀了他的叔叔，{s9}国王，然后给我士兵和资源去追捕斯温。
qstr_Note_3:_You_have_cho|笔记3：因为{s9}的背叛以及他与牛颈斯温的主子结盟，你选择成为了他的敌人。你知道他将派人刺杀你。
qstr_I_did_not_know_your_|阁下，我不知道你的计划。道琴嘉请求我的帮助，我就去了。（冷静）
qstr_Calm_down_and_tell_me|冷静一下，告诉我有什么问题。我们都是文明人。（谨慎）
qstr_There_is_only_one_tr|这里只有一个叛徒，那就是你。该死的狗！你要付出代价。（易怒）
qstr_These_Vikings_were_f|这些维京人势单力薄。如果你打算靠他们的帮助得到王位，你就是个傻瓜。（嗜血）
qstr_Note_3:_You_chose_no|笔记3：即使{s9}背叛了你，与{s11} ，牛颈斯温的主子结盟，你也选择不去公开对抗他。
qstr_Note_3:_You_chose_to_b|笔记3：由于肯尼莫的雅尔的背叛以及他与西格德，即牛颈斯温的主子结盟，你选择成为肯尼莫的雅尔的敌人。你知道他将派出刺客追杀你。
qstr_Note_3:_You_chose_not|笔记3：即使{s9}背叛了你，与{s11} ，牛颈斯温的主子结盟，你也选择不去公开对抗他。
qstr_Leave_Friese:_Your_r|离开弗里斯：你已经和雅尔翻脸，你是他的敌人。如果你胆敢再次露面，他将不惜派人暗杀你。
qstr_Leave_Friese._Your_r|离开弗里斯：你已经和雅尔翻脸，他指责你破坏了他夺取王位的计划。你在这段时间内最好不要接近他——直到你能取回他的信任。
qstr_You_were_wrong._Thes|你错了。这些人正打算夺取村庄，然后驻守在这里，等待更多从丹麦来的士兵。现在这已经不可能了，你终结了我的梦想。“蛇眼”西格德会因为你而认为我是一个叛徒，他会来杀我。走开！你在这里不受欢迎。如果我们再见面，我不知道我能不能控制自己不杀你。^^我建议你离开弗里斯。
qstr_There_s_nothing_to_t|没有什么可以谈的。这些人正打算夺取村庄，驻守在这里，等待更多从丹麦来的士兵。现在这已经不可能了，你终结了我的梦想。“蛇眼”西格德会因为你而认为我是一个叛徒，他会来杀我。走开！你在这里不受欢迎。如果我们再见面，我不知道我能不能控制自己不杀你。^^我建议你离开弗里斯。
qstr_Leave_Friese._Your_re|离开弗里斯：你已经和雅尔翻脸，他指责你破坏了他夺取王位的计划。你在这段时间内最好不要接近他——直到你能取回他的信任。
qstr_You_are_bold_rat_to_|你这鼠辈真是大胆，竟敢在你的所作所为之后还来见我。看在你曾为我办事的份上，我会给你几天时间准备，之后你就等着来取你性命的杀手吧，因为我将悬赏你的人头。^如果你不离开弗里斯，或者我们再见面的话，我会亲自杀了你。
qstr_Leave_Friese._Your_rel|离开弗里斯：你已经和雅尔翻脸，你是他的敌人。如果你胆敢再次露面，他将不惜派人暗杀你。
qstr_No_you_are_a_fool._T|不，傻瓜，这些人正打算夺取村庄，然后驻守在这里，等待更多从丹麦来的士兵。现在这已经不可能了，你终结了我的梦想。“蛇眼”西格德会因为你而认为我是一个叛徒，他会来杀我。我会给你几天时间准备，之后你就等着来取你性命的杀手吧，因为我将悬赏你的人头。^如果你不离开弗里斯，或者我们再见面的话，我会亲自杀了你。
qstr_Investigate_events_i|调查{s3}的事件。
qstr_Help_defend_{s3}.|协助{s3} 。
qstr_The_king_does_not_be|国王不相信你，你需要找到他叛国的证据，也许{s3}的索里克能够帮助你。
qstr_It_seems_you_will_not|看来你得不到国王的帮助，你不得不直接与“蛇眼”{s11}当面对质了。
qstr_{s10}_won_t_support_y|{s10}不会帮助你对抗{s9} 。
qstr_I_did_not_want_to_ki|我不想杀死阿提利，但我别无选择。（冷静）
qstr_I_am_aware_of_the_se|我知道这有多么危险，你不必提醒我。（谨慎）
qstr_I_did_this_for_you._|我做这一切都是为了你。如果没有我，这封信就会落到西格德的手上，他就可以夺取王位了。（易怒）
qstr_Come_on_sire_I_left_|没关系，陛下，我没有留下目击证人。议事会无法指控我任何罪名。（嗜血）
qstr_I_see._Well_it_is_yo|我明白。好吧，这是你自己的性命。
qstr_Well_if_Ulf_doesn_t_|好吧，如果乌尔夫不再指证你，或者有一些领主支持你，你可能还有机会。
qstr_Mark_my_words_{reg59|记住我的话，{reg59?女士:先生} 。如果西格德得到王位，你的性命会变得一文不值。别说你为我做事，其实你只是为了保护自己的利益。
qstr_Remember_that_I_am_t|请你记住当你提到我时候，不要漏了国王的称呼。
qstr_It_seems_that_everyt|看来所有东西都为你的审判准备好了。一旦议事会需要你的出现，{s10}将派人警告你。
qstr_{s9}_wants_you_back_|{s9}希望你和{s11}回来。
qstr_{s9}_wants_you_to_me|{s9}想让你去诺丁汉附近与西撒克逊的{s11}会面，提出议和的建议。
qstr___You_perceive_that_|——你察觉到你的消息已经深深地扰乱了他。——
qstr_I_guess_you_ve_weigh|我想你在做決定之前，已经权衡了所有选择的利弊。（冷静）
qstr_So_all_is_not_lost!_|因此我们还有机会！（谨慎）
qstr_Retreat_is_dishonora|撤退是不光彩的行为。如果我是这支军队的领导者，我将带领它走向胜利。（易怒）
qstr_Come_come._Retreat?_|哼，撤退？你是懦夫吗？（嗜血）
qstr_We_must_be_realistic|我们必须面对现实。否则，我们可能失去已经得到的一切。
qstr_You_need_not_be_so_d|别这么激动，我们还没有输，该死的！我只是在作出最符合逻辑的决策。
qstr_Well_I_happen_to_lik|好吧，我喜欢与人比胆量。仔细听，因为我认为这会令你感兴趣。
qstr_No_I_d_rather_be_a_c|不，我宁愿当一个聪明的活人，而不是鲁莽的死人。注意你的言辞！记住你是在和拉格纳之子说话。如果整个诺森布里亚都担不起侮辱我们家族的后果，你凭什么认为自己就可以？
qstr_{s9}_wants_you_hunt_|{s9}希望你到{s3}附近追击并摧毁西撒克逊征粮队。
qstr_{s9}_wants_you_deliv|{s9}希望你给他在{s3}的兄弟送信，提醒他们丹麦的援军已经没有指望了，比约恩将与撒克逊人展开停战谈判，并从麦西亚撤离。
qstr___You_perceive_your_|——你认为你的消息深深地扰乱了他。他在回答你之前重重地哼了一声。——
qstr___He_looks_into_your_|——他深切地看着你，然后让一个仆人大声地把信念完。之后拉弗伯斯面带微笑地看着你。——
qstr___He_bites_his_lower|——他咬着嘴唇思考了几秒。——
qstr_Note_1:_You_gave_the|笔记1：{s9}感谢你把信交给拉格纳之子们，现在你正帮助他们。
qstr___He_rests_a_hand_on|——他把一只手放在你的肩膀上——
qstr___He_laughs_loudly._|——他放声大笑——
qstr_{s9}_wants_you_find_|{s9}希望你找到{s4}的{s3}并且向他宣誓效忠。然后返回，他要交给你一个任务。
qstr_As_he_rejoins_his_br|当他与他的兄弟们聚会商讨如何处置博多的信件时，{s11}让你前往阿尔班王国，攻下{s3} 并守住三十天，以此削弱皮克特人，确保诺森布里亚的丹麦人不会腹背受敌。
qstr___He_takes_a_deep_bre|——他深呼吸了一下。——
qstr___He_smiles_pleased.|——他很高兴，面带微笑。——
qstr_The_time_to_meet_wit|随着时间的推移，与阿斯图里亚斯军队会面的日子到了。博多在信中提到他们会停靠在{s3} ，并且{s11}想让你去和他们汇合。那有一个名叫西诺的叛徒。我们可以利用他来讨好阿斯图里亚斯的军队，并且让他们反水到拉格纳之子的一方。但是如果你不能说服他们，{s11}希望你可以击败他们。^^在离开英格兰之前，你必须到{s3}和那里的老船长谈谈，{s11}正在当纳莱斯集合士兵和战场来支援你。
qstr_The_king_wants_no_le|国王不想写信，你被派去传话给他的兄弟，{s11} 。
qstr___He_takes_the_letter_|——他从你的手中拿过信，你看见他的手指沾有墨水。艾弗德慢慢阅读这封信，对信的内容很感兴趣。阅读完毕后，他没说话，要求和博多走到一边，二人谈了很长时间。——
qstr_Note_1:_You_gave_the_|笔记1：你把这封信给了西撒克逊人。{s9}很感谢你，你正在帮助他。
qstr___For_a_moment_he_sh|——在这一刻，他感到惊喜。——
qstr___He_studies_you_slo|——他仔细地打量你，好像在检查一匹马。——
qstr_{s9}_wants_you_to_fi|{s9}希望你找到{s4}的{s3}并且向他宣誓效忠。然后返回，他要交给你一个任务。
qstr_{s11}_has_asked_you_|{s11}让你前往威尔士，攻下{s3}并守住二十天。
qstr_The_time_to_meet_with|随着时间的推移，与阿斯图里亚斯军队会面的日子到了。博多在信中提到他们会停靠在{s3} ，并且{s11}想让你去和他们汇合。那有一个名叫西诺的叛徒。你必须巧妙地揭露他的身份，这样就不会破坏你与阿斯图里亚斯的关系。^^{s11}正在当纳莱斯集合士兵和战船，你得去和{s3}港口的老船长谈谈。
qstr___He_snaps_his_finge|——他打了个响声。——
qstr_You_must_enter_the_s|你必须效忠{s11} ，做好随时战斗的准备。
qstr___He_looks_at_you_co|——他居高临下地看着你。——
qstr___He_scratches_his_c|——他深思熟虑到划过自己的下巴。他是个只有二十岁的年轻人，但已经受人尊重。——
qstr_{s13}_asked_you_to_ga|{s13}要求你收集{reg3}头牛，并把它们带回来。
qstr_{s13}_asked_you_to_gat|{s13}让你搜集{reg3}头牲畜并送到阿先顿，然后回到他身边。
qstr___He_puts_his_hand_on_|——他把手放在你肩膀上，并且看着你的眼睛。——
qstr_You_ve_joined_your_a|你已经与{s11}的军队会合，等待着丹麦大军的来临。看来西撒克逊的命运马上就要揭晓了。
qstr___He_pats_your_back.|——他拍拍你的背部。——
qstr_You_must_enter_the_se|你必须效忠{s11} ，做好随时战斗的准备。
qstr___Halfdan_laughs_lou|——哈弗丹放声大笑。——
qstr___He_confidently_tou|——他自信地抚摸你的头发。——
qstr_{s13}_asked_you_to_gath|{s13}让你搜集{reg3}头牲畜并送到雷丁镇，然后回到他身边。
qstr___He_hugs_you_tightl|——他紧紧地拥抱你，像一头熊。——
qstr_You_ve_joined_your_ar|你已经与{s11}的军队会合，并准备向阿先顿的撒克逊人进军。看来西撒克逊的命运马上就要揭晓了。
qstr_{s9}_told_you_that_S|{s9}告诉你牛颈斯温已经前往雷丁镇，他攻下了那里。是时候去结束沃登里克号上开始发生的一切了。不能让斯温再次逃跑，我们去雷丁镇。
qstr_You_already_have_my_|你已经得到我的允许，不要再拿同样的问题来烦我。
qstr_You_are_an_enemy_of_|你是我国的敌人。
qstr_You_must_earn_my_tru|你在我的土地募兵前必须先取得我的信任，现在我们的关系很坏。
qstr_I_don_t_know_if_I_tr|我不知道应不应该信任你，任由你把我治下的人们带到战场上。先证明你自己的能力，再来找我。^^（150以上声望）
qstr_No._I_do_not_know_wh|不，我不知道你是谁。如果你想在我的领地招人，你必須先赢得我的信任。^^（150以上声望，或15点以上好感度）
qstr_Well_I_ve_come_to_kn|好吧，我了解你，我允许。因此，我在此下令，任何一个人都能自愿加入你的队伍，只要他没有向其他领主宣誓效忠。
qstr_you|你
qstr_You_are_challenging_|你准备向我发起决斗？开什么玩笑！如你所愿，{playername}，打暴你的头将会是非常有意思的事情。
qstr_{s16}_and_{s17}|{s16}和{s17}
qstr_Very_well_I_will_acc|很好，如果你再次庄严地向我宣誓，我可以接受你回到我这边来。
qstr_A_pardon_will_only_b|我不会宽恕你的，除非你把{s17}割让给我。你同意我开出的条件吗？
qstr_No._There_is_no_chan|不，我们之间没有机会保持和平，我对这个不感兴趣。
qstr_I_may_be_able_to_hel|我可以帮助你渡过这个微妙的时刻，^^不过，你身上是否正好带有{reg7}先令呢？
qstr_I_have_heard_of_your|我听说你曾恶劣地对待我的子民，
qstr_{playername}_your_tr|{playername}，你在过去残暴的对待我的属民，但是战争就是这样。我愿意帮你了结此事。给我{reg7} 先令，我帮你解决它。
qstr_{playername}_we_all_|{playername}，我们都曾经犯错，尽管你曾恶劣地对待我的子民，但我没有心怀怨恨。我会帮你重拾人们的信任，让他们相信你是一位正直的统治者。请让我带走{reg7}先令，我将为你办好事情。
qstr_Rumor_has_it_that_{s| 有流言说{s35}偷偷把钱藏起来了。
qstr_Rumor_has_it_that_{s3|有流言说{s35}把钱拿走了。
qstr_{s34}|{s34}
qstr_Your_efforts_to_brib|你贿赂当地居民的行动失败了。
qstr_Our_marshal_{s1}|我们的元帅，{s1}
qstr_We_are_not_at_war_wi|我们没有与任何人交战。
qstr_go_on_the_offensive_|马上去进攻。
qstr_act_to_defend_our_la|进行领土保卫。
qstr_take_more_time_to_ga|多花点时间来集结军队。
qstr_You_promised_to_help|你答应帮助{s13}夺回{s14}的王座。
qstr_What_do_you_say_to_e|你说要作为佣兵队长为{s9}效忠？我毫不怀疑，你非常胜任。
qstr_{s8}_asked_you_to_tr|{s8} 请求你追踪一群洗劫了他们的村子{s9} 的流浪汉。
qstr_{s9}_asked_you_to_ta|{s9}要你带一个口信给{s13} 。在你接受这个任务的时候，{s13}确信在{s4} 。
qstr_{s9}_asked_you_to_tak|{s9}让你带个口信给{s15}的{s13} 。当你接受这个任务时，{s13}相信正在{s4} 。
qstr_{s11}_asked_you_to_e|{s11}要求你护送主教从{s22}出发去{s14} 。
qstr_{s11}_asked_you_to_r|{s11} 要求你去洗劫在{S34} 附近的{s14} 的修道院，并带回来至少{reg33} 先令。
qstr_{s11}_asked_you_to_es|{s11}要你护送他的{s17}{s13}到{s14} 。
qstr_{s13}_asked_you_to_d|{s13}要你对付那些侵占了{s15}村避难所的强盗，并返回向他报告情况。
qstr_{s9}_asked_you_to_ra|{s9}要求帮他训练{reg1}名{s14} ，并给他送去。
qstr_{s9}_asked_you_to_co|{s9}要你去{s3}征税。他答应你征收的税款中的20% 归你所得。
qstr_{s9}_asked_you_to_hu|{s9}要你抓捕名叫{s4}的通缉犯。他现在确信在{s3} 。
qstr_{s9}_asked_you_to_as|{s9}要你杀死一个{s3}的地方商人。
qstr_{s9}_has_asked_you_t|{s9}要你到{s13}见一个间谍。
qstr_{s11}_asked_you_to_f|{s11}要你跟踪将要离开{s12}的间谍。你必须小心，别让他在半路发现你，否则他可能会起疑心并折返回去。一旦他与他的同伙碰头，你得伏击他们并把他们两人带回去交给{s11} 。
qstr_{s11}_asked_you_to_c|{s11}让你俘虏来自{s13}的一名领主，然后安全地带回{s11} 。
qstr_{s9}_asked_you_to_le|{s9}要你把你的同伴{s3}借给他用一个星期。
qstr_{s9}_asked_you_to_col|{s9}要求你收集{s3}欠他的{reg4}债款。当你接受这个任务时，{s13}相信正在{s4} 。
qstr_{s11}_gave_you_a_fak|{s11}给你一封伪造的信，要你送给{s13} ，以欺骗他让他流放他的封臣{s16} 。你得到{s14}附近，并把信交给你的一个{s15} ，然后把他作为一个信使送到城镇里去。相信他的命令会变成真的。
qstr_{s9}_has_requested_y|{s9}要你帮他抓捕{reg1}个{s3}俘虏。
qstr_Lend_your_experience|把你老练的外科医生{s3}借给{s1} 。
qstr_Oh_Dear!_We_have_bee|噢，亲爱的！是个男孩！
qstr_Oh_Dear!_We_have_rec|噢，亲爱的！是个女孩！
qstr_Oh_Dear!_Twins_are_b|噢，亲爱的！是对双胞胎！
qstr_Oh_dear_{playername}|亲爱的{playername}，我感觉很疲倦。(她向你微笑) 耐心一点，怀胎九月呢。
qstr_I_m_thinking_of_a_na|我正在思考孩子的名字呢。如果是个男孩，就叫他{playername}，如果是个女孩，就叫我的名字。
qstr_I_m_fine._I_will_not|我很好。我不会在意女仆们的玩笑的。
qstr_Time_flies_away_from|时间在战争，忧虑，和艰难的长途跋涉中匆匆逝去……九个月后，你的孩子就要出生了。
qstr_Then_take_it_with_my|收下这些吧，这些代表我永恒的谢意。你是一个高尚的人。我永远都不会忘记你在我最需要的时候帮助了我。
qstr_Forgive_me_{playerna|原谅我，{playername}，但是我坚持让你接受。这些钱对我来说算不了什么，我欠你的太多了。给你，拿去吧，我们不要再谈这个了。
qstr_{playername}_what_a_|{playername}，你是多么可爱的人，但是我不允许你拒绝我的礼物。我欠你的人情难以想象，我相信你会把钱用在比我自己更好的方面。
qstr_I_know_you_re_at_war|我知道你正与他的国家开战，所以要把这信息传达给他也许有些难。但我也知道你能办到。
qstr_{s11}_asked_you_to_d|{s11} 请你向{s3} 传达一个信息。
qstr_Oh_{playername}_my_h|哦，{playername}，我的丈夫忙于公事，你能帮我带去{reg25}件{s17} ？
qstr_Oh_{playername}_coul|哦，{playername}，你能帮我个忙么？某天我碰到一个商人，他在大门旁卖一些新奇的玩意儿。可惜的是，我无法自由地花钱……你能发发善心，帮我带来{reg25}件{s17}吗？
qstr_{s11}_asked_you_to_b|{s11} 要求你给她带去{reg25}件{s17}。
qstr_Oh_{playername}_my_hu|噢，{playername}，我的丈夫{s15} 忙于公事，我想为他办一个惊喜派对。你能做件好事，帮我带来{reg25}瓶{s17}和两件奶酪吗？
qstr_Oh_{playername}_could|噢，{playername}，你能帮我个小忙吗？正有一些闺蜜来拜访我，我想为她们办一个小派对。可惜的是我不能随意花钱……你能做件好事，帮我带来{reg25}瓶{s17}和两件奶酪吗？
qstr_{s11}_asked_you_to_br|{s11}要求你给她带去{reg25}瓶{s17} 和两件奶酪。
qstr_{s11}_asked_you_to_re|{s11}要你从{s14}营救她的{s17} ，{s13} 。你得跟他交换衣服并代替他呆在监狱里。
qstr_{s11}_asked_you_to_res|{s11}要你从{s14}救出她的{s17} ，{s13} 。
qstr_{s12}_asked_you_to_d|{s12} 要你带个口信给{s13}，关于谁被囚禁在{s14}。
qstr_You_agreed_to_challe|你同意与{s13}决斗以维护{s11}的名誉。
qstr_{s11}_asked_you_to_di|{s11} 请求你悄悄地解决掉她阴魂不散的前男友，他目前正在{s33} 。
qstr_{s5}__Persuasion_str|{s5}（说服力：{reg5} ）
qstr_Persuasion_Attempt|尝试说服
qstr_I_think_your_dilemma|我觉得{reg22} 先令就能解决这个问题。
qstr_Thank_you_for_the_wa|感谢你的警告。{reg22} 先令能让我忘记一切事情。
qstr_Pay_{reg22}_peningas|为你的粗鲁补偿{reg22} 先令，不然……
qstr_{reg22}_peningas_is_|想让我闭嘴的话你最好给我{reg22} 先令，不然……
qstr_I_understand_you_wer|我明白你也是不得已而为之，但我也必须得到补偿。我认为{reg22} 先令是个合理的价格。我不想告发你，但也请你不要让我为难。
qstr_Prepare_to_die_you_i|准备受死吧！你这个无礼的混蛋！
qstr_Ah_a_duel._Well_if_y|决斗么？如果你坚持的话，{playername}，我接受。
qstr_Hmm_are_you_sure?_I_|唔，你确定吗？你要知道，这等于完全毁了我们之间的友谊……
qstr_Hmm_isn_t_this_all_a|唔，你不觉得这样太草率了吗？也许我们可以找到更合适的解决方法……
qstr_I_always_knew_{playe|我早就知道，{playername}，你就是个没有道德底线的混蛋。只有下流中的下流之人才会做出这种勒索诽谤的事情。这种指控，甚至不值得我去回答。
qstr_{playername}_is_it_w|{playername}，这个值得我们忘记过去不愉快的事情吗？我承认是我做错了。你还有什么条件吗？
qstr_I_can_pay_you_{reg22|我最多补偿你{reg22} ，一个子都不能再多了！
qstr_Given_my_poor_financ|根据我的经济条件，我认为{reg22} 先令的赔偿比较合适。
qstr_I_only_have_mere_{re|我全身上下也只有{reg22} 先令了。拿着然后让我安静一下吧。
qstr_I_have_no_money_to_p|我没钱能给你了。
qstr_Bless_you_{playernam|上帝保佑你，{playername}。这是一个高尚的决定，我将永远铭记在心。
qstr_This_is_not_only_an_|这不仅是一个高尚的决定，也体现了你在政治方面的成，{playername}。
qstr_Well_thank_you_{play|谢谢你，{playername}。我很感谢你的好意。
qstr_Maybe_I_was_wrong_ab|也许我看错你了，{playername}。时间会告诉我答案的。
qstr_Welcome_to_Maedelste|欢迎来到美杜斯德，这里一直欢迎外来者，尤其是带着银子的人。
qstr_My_mead_hall_is_the_|我的蜜酒厅是城镇里最大的建筑，欢迎光临。
qstr_Make_yourselves_comf|好好舒坦下吧，我会给你提供饮食以及住宿。
