str_yes|是
str_npc9_personalityclash_speech|{reg59?女士:先生}——{s11}真是个牛皮精，虽然像他一样钦佩他人勇武的人实为少见。但他老是仗着自己精于行伍之事而四处吹嘘他和他的伙计们战无不胜，让我耳朵都听出茧了。
str_npc10_personalityclash_speech|打搅了，阁下。我并不想因为这些事而打扰你。但我就是想让你知道我再也不能忍受{s11}那家伙了。这人总喜欢说他是国王还是其他什么人的护卫。
str_npc11_personalityclash_speech|抱歉，但我不能再视若无睹了。不是说你，{reg59?美女:帅哥} ，而是那个家伙，{s11}真是个愚蠢又自大的大个头。一点也不理解战争中的荣誉和诗意，就知道打打杀杀，却不去学学那些吟游诗人。他甚至还得寸进尺的……
str_npc12_personalityclash_speech|我的{reg59?女士:阁下} 。那个愚蠢的{s11} ，到处传播我连一个懦弱的流氓都比不上的谎言，甚至还说我不配进入战场。
str_npc13_personalityclash_speech|抱歉打扰，阁下，我真的想亲手掐死那个叫{s11}的蛆虫。那个可笑的人根本不知道没有纪律的莽撞只会造成惨败和耻辱！
str_npc14_personalityclash_speech|队长，你必须知道那个叫{s11}的丑女人会对我们的人造成很坏的影响。她指控说我想诱奸她，但那不是真的，要知道，我甚至不能忍受她那身臭味。
str_npc15_personalityclash_speech|打搅了，希望你不会介意我谈谈我的看法，{s11}对我们团队是个危险。他只关心他的宗教和地狱。完全不尊重军队的权威和原则。
str_npc16_personalityclash_speech|只想让你也知道——有些关于{s11}的可笑之事。他在战前会在地上乱涂乱画，并一个人嘀嘀咕咕的。
str_npc1_personalityclash_speech_b|她并不是什么阁下物。所以正如她刚才所做的，她没资格跟我说要我跟她保持距离。
str_npc2_personalityclash_speech_b|我并不太在乎{s11}说的那些纯洁又虔诚的人生。我是一个渴望进入瓦尔哈拉神殿的战士，不是一个{s11}那样的圣徒。
str_npc3_personalityclash_speech_b|我知道军队是男人们呆的地方，但我认为我也应该受到尊重。要知道我并不是谁的妓女，希望你不会介意我说的这些。
str_npc4_personalityclash_speech_b|那个撒克逊人，{s11} ，正在找死。就是这样。
str_npc5_personalityclash_speech_b|我告诉他如果勇士之路让他如此困扰，那么当个牧师或者乞丐就不用考虑这么多了。希望你别介意我说的这些。
str_npc6_personalityclash_speech_b|我知道我不是个好人，但我正在忏悔。我理应被更好的对待而不是成为某种巫术迷信的对象。我认为她留着魔鬼的血。我想这你该知道。
str_npc7_personalityclash_speech_b|我不在意他吃完饭后，在营火周围如何剔着牙，喝着烂啤酒瞪我。但我不能接受的是他老说他是一个比我更好的追踪者，这明显是扯淡。他就是一个卑鄙无知的蠢蛋，一个地地道道的傻小子，根本不够格和我相提并论。我不喜欢和这种人一起旅行。
str_npc8_personalityclash_speech_b|我的确不识字，也不会写字，更不会说拉丁语。但是我比{s11}更懂的生存和战斗之道，像我这样的伟大战士不应该被这样的懦弱空想家嘲笑。因为我尊敬你，所以当我不小心听到他讲我的笑话时，克制住了割断他喉咙的冲动。我想，我这应该算是提醒了你吧。
str_npc9_personalityclash_speech_b|于是我问他，如果他和他的人真的比法兰克勇士们更有纪律，为什么他在征服丹麦人时失败了，并流浪在他鄙视的撒克逊人之中？他没回答我，脸涨得通红，把我和我的祖宗十八代骂了个遍，几乎要和我决斗。他老说他很有纪律，但我觉得你应该多管管他了。
str_npc10_personalityclash_speech_b|所有人都知道这里没有真正的威尔士贵族。布立吞人绝没有真正的精英血统，任何想假装威尔士贵族的人都是幼稚的蠢货。总之，我刚才对他说的可能有点刻薄，比如“如果他真是一个贵族，那可能因为他的父亲是一个撒克逊人”。不管怎样，他貌似生气了。我想你应当知道。
str_npc11_personalityclash_speech_b|他只会给我们带来不幸和悲伤，我不喜欢和他在一起，他也不应该和我们在一起。我给她讲处女的事，他却愚蠢的说起了爱情。哎，我再也不能忍受他了。抱歉打扰你，{reg59?美女:帅哥} 。
str_npc12_personalityclash_speech_b|那个笨蛋野蛮人无法理解医术的美妙，宁愿伤口感染而死也不让医术高超的我去帮助，但这都不是我的错呀。阁下，我真的受够了呆在这种愚昧无知的傻瓜之中了。
str_npc13_personalityclash_speech_b|那个蠢货{s11}在嘲弄我手下的好战天性，甚至暗示我是因为被丹麦佬战败才来的英格兰，那当然不是真的。我不会让人在众人面前质疑我的方法和信念，我也不会服侍能够容忍如此不服从命令的蠢货在自己的队伍里的领主。谢谢你允许我说这些琐事。
str_npc14_personalityclash_speech_b|她已经好多次晚上偷偷溜进我的帐篷了，而且抓住一切机会和我单独在一起，引诱我去做那些我都不敢大声说出来的事。拜托，给那个不要脸的丫头说说，我只喜欢漂亮女人，我不想和她那样的人扯上什么关系。
str_npc15_personalityclash_speech_b|我听说他对勇士们说，战斗前和围城前的准备都是无用的，因为只有顺应上帝的意愿才能胜利。尽管我是一个基督徒，但我知道光靠一个纯洁的基督徒之心是无法取得胜利的。我认为你应该让他立刻停止这种传教。
str_npc16_personalityclash_speech_b|当我问他那些可怕的巫术时，他却说不关我的事。我只好翻了翻他的行李，并找到了一个异端才有的奥丁符文。我敢肯定那是一个邪恶堕落的标志。为了我们的不朽灵魂，我们一定要摆脱{s11} 。
str_npc1_personalityclash2_speech|阁下——我无意冒犯，但是我有点受不了{s11}了。他老说我是一个注定会下地狱的疯癫傻小子。
str_npc2_personalityclash2_speech|{reg59?女士:阁下} 。如果你不介意，我希望你别把我安排在{s11}附近，免得我拿他来祭神。
str_npc3_personalityclash2_speech|{reg59?女士:阁下} 。自从我加入你的部队，我努力的的去学着如何像一个士兵似得生活（那真的比做奴隶好），以及如何获得勇士的荣耀。但你手下有些人没有平等的尊重我。
str_npc4_personalityclash2_speech|我告诉过你我讨厌皮克特人，但你却邀请了{s11}加入我们。好吧，告诉她，当她和我说话时，她应该记住我是一个苏格兰人，而她是一个没用的皮克特追踪者。
str_npc5_personalityclash2_speech|阁下，应该割掉{s11}的舌头，然后重重的鞭打她一顿。
str_npc6_personalityclash2_speech|你看到了{s11}在上次战斗的表现了吗？他虐待那些倒在战场上无助的敌人，嘲弄他们的出身，他们的愚蠢。这简直是堕落和软弱的象征，和他那整个民族一个样。
str_npc7_personalityclash2_speech|阁下——我越来越讨厌那个叫{s11}的傲慢鬼了。他认为我是一个不如他的战士，就因为我是一个追踪者，而且还是一个女的。是的，一个女人离开她的家和她的丈夫是不平常的。但是，在皮克特人中，我的家乡，我们比其他白痴地方有更多的选择。
str_npc8_personalityclash2_speech|阁下。{s11}是我见过最无礼的丫头了。我试着保持礼貌和友好，但她居然拒绝了我的好意。这小东西认为她是一个战士而不是随营奴隶了。
str_npc9_personalityclash2_speech|{reg59?女士:阁下} ，我希望你不介意我说这些，但是，在我看来，{s11}这个混蛋很不识趣。上次战斗中，他居然在我面前杀了一个我已经做了标记的俘虏。
str_npc10_personalityclash2_speech|阁下——我想问一下，到你是你还是{s11}在管事？
str_npc11_personalityclash2_speech|{reg59?我的美女:帅哥} ，我觉得我们不应该和{s11}在一起。拜托了，听听我心声吧。
str_npc12_personalityclash2_speech|阁下，我实在不能忍受像{s11}这样的无知之人了。当我处理上次战斗的伤员时，他居然嘲笑我处理伤口的方法和使用的药物。
str_npc13_personalityclash2_speech|我得说我不能够忍受和{s11}在一起。他是个丹麦人，我参与过一场我的人民和丹麦人之间的战斗，战败了，他竟然对此进行嘲弄。
str_npc14_personalityclash2_speech| {reg59?女士:先生} 。{s11}是个糟糕的同伴，我们这战绩显赫的盾墙阵列会被一代又一代永远的传颂，他不配享有如此殊荣。
str_npc15_personalityclash2_speech|将军——我得告诉你我对{s11}的医疗资格表示怀疑。上场战斗后他去给我们的伤员疗伤，我觉得时机合适就提醒了下他，让他注意他的治疗方式，这位举世无双的名医、当代的希波克拉底经常用蒸馏过的甜菜根来医治因失血导致的体液失衡。
str_npc16_personalityclash2_speech|如果你对上帝还存有敬畏之心的话，注意听着我的告诫：那个叫做{s11}的魔鬼现在就得被消灭。
str_npc1_personalityclash2_speech_b|我对当基督徒没兴趣，而且就我看来，这个牧师只会给我们带来厄运。也许我们该烧死他。
str_npc2_personalityclash2_speech_b|当时敌人正气势汹汹的冲过来，他对我说：“伟大的战士不会在战斗中喝蜜酒。”下次情况危急的时候，我就站在旁边让他拿着矛，看看他怎么办。
str_npc3_personalityclash2_speech_b|我们上次胜仗后我在死人身上捡东西，那个叫雷因哈德的弗里斯人把我推到一旁，说一个随军奴隶女孩不准搜刮战利品。我想如果我也能和大家一起并肩作战的话，那我也能像其他战士一样搜刮战利品。虽然我可能不像其他人那样有经验，但我也愿意献出自己的生命。
str_npc4_personalityclash2_speech_b|终于，你准备处理那个北地的娘儿们了，她得牢记自己的身份地位，要不然就挨鞭子。
str_npc5_personalityclash2_speech_b|就我所知她只是一个女人。但是，昨晚我让她给我煮顿好饭时，她拒绝了并说我应该自己做。昨天要不是我太累了，她这样放肆我就扇她一巴掌，所以我没管了。但我以后不会再容忍这样的无礼之举。
str_npc6_personalityclash2_speech_b|我不会容忍我们队伍中有这样一个人渣。战场无儿戏，真正的战士是不会纠缠战败的敌人的。请让我杀了这个蠢货，用这个害人精的血液来抚平我饱受折磨的灵魂。
str_npc7_personalityclash2_speech_b|他还坚持让我用“阁下”而不是用他那蠢名字称呼他。我告诉你，等我有一天拥有自己的部队了，我会追杀他到死为止，看看等我斧头插进他头颅里面的时候，他还能猖狂多久。
str_npc8_personalityclash2_speech_b|上场战斗之后，我们清洗武器的时候，我发现她是个漂亮的姑娘，若是把她介绍给我的一个朋友我也高兴。我向她说道如果我要找个老婆我只会娶个自由人。我觉得这个提议很慷慨了，因为她很快就会发现作为一个随军奴隶是没有前途的。但是她非没有感谢我，反而一句话不说走了。如果我不立刻教育教育她，那就是对你权威的不敬。我真希望你能更好的约束你的奴隶。
str_npc9_personalityclash2_speech_b|我很欣赏战斗中他愿意献出生命的精神，但只凭这个是做不了战士的。他不是贵族出身。他也许能当个后备队，鼓励他一下，但他不应企图从他上级那里觊觎荣耀。
str_npc10_personalityclash2_speech_b|上场战斗中，他就像往常一样唱着歌，吹嘘着自己是个把我们带向胜利、荣光、时运的伟大指挥官。我很抱歉，但如果他是我们的领袖而不是你的话，那我就得离开去别的地方寻求机遇了。
str_npc11_personalityclash2_speech_b|就我所知，他是个永远得不到安宁的流浪者，他也回不去自己的家乡。这全是因为他不听从他首领的命令。那么，既然他不能听从他合法的首领，那怎么指望他能听从你呢？请不要误会了，{reg59?我的美女:帅哥} ，我肯定会遵从你的一切指令的，我甚至忠诚于你甚于索尔神，但是我认为他对我们所有人都是个威胁。我觉得你最好摆脱他。
str_npc12_personalityclash2_speech_b|阁下，如果那个人懂一点点医学的话，他就该知道在医疗途中是不能削弱病人的信心的，特别是在复杂的手术中时。他应该专注于军事问题上。如果你愿意把他从部队中除名的话，那对我们来说都会是个大好事。
str_npc13_personalityclash2_speech_b|他总是说让我小心点，总有一天他会拿长枪狠狠地戳进我的心脏。他发誓要在下场战斗中杀了我。你最好盯紧这个白痴。
str_npc14_personalityclash2_speech_b|在上场战斗中，我在歌唱许多次战斗中，是你的领导和勇气把我们领向胜利，他往地上啐了一口让我闭上我那傲慢的嘴巴。如果这个人不能理解我们伟绩的传奇色彩的话，那他就不该与我们同享荣耀和财富。
str_npc15_personalityclash2_speech_b|{s11}回复说，希波克拉底是个“什么都不懂的老东西”，与伽伦纳斯的学识根本无法相比。将军，真正的医者不会对古代的大师如此不敬。我难以置信你会雇了这么明显的一个骗子。
str_npc16_personalityclash2_speech_b|这个恶心的女人公开声称她信奉异教的神，奥丁和索尔，基督只教了她弱者的虚谈。她甚至下了个荒谬的结论——说我，一个神圣的牧师——因为我“胡言乱语的布道”而给大家带来厄运。如果你不想把你的部队带向地狱，应该立刻烧死这个挪威女人，送她上天。
str_npc1_personalitymatch_speech|阁下。{s11}上场战斗中表现的真不赖。他真是个好苗子。
str_npc2_personalitymatch_speech|{reg59?女士:先生} 。我只想告诉你{s11}也许是个粗人，那我估计他也是个十足的酒鬼，但我还是很骄傲称他为我的同伴的。
str_npc3_personalitymatch_speech|{reg59?女士:先生} ，你好！我只想对你说{s11}是最勇敢的战士。你看到上场战斗里他的表现了吗？
str_npc4_personalitymatch_speech|对于{s11}我只说一句表扬的话。他上场战斗中做得很不错。
str_npc5_personalitymatch_speech|{playername} ，那真是场精彩的战斗！战斗的时候，{s11}是个在身边的好同伴。
str_npc6_personalitymatch_speech|有时候我会被血腥的场面困扰，尽管我知道如果想要恢复和平的话，得让那些骄傲的领主低下头，并驯服那些残酷的土匪。
str_npc7_personalitymatch_speech|阁下，我刚想说{s11}呢。他虽然性子太直了，但他没有因为我是个女人或者皮克特人而对我产生偏见。
str_npc8_personalitymatch_speech|阁下，真是场精彩的战斗。我得说，我很高兴能有{s11}陪伴，他是个优秀的指挥官。
str_npc9_personalitymatch_speech|阁下。{s11}在那场战斗中表现的很好。我敢这么说：她是位谦逊的好女士。
str_npc10_personalitymatch_speech|阁下！愿你为胜利而欢欣！这么说，我真的喜欢和苏维格呆在一起。我知道她为保障我们队伍的安全是十分卖力的。
str_npc11_personalitymatch_speech|啊，{reg59?我的美女:帅哥} ，有{s11}这样品质优良的女人呆在我们队伍里面，对此我真是十分欣赏你。尽管弗里斯人软弱地屈服于丹麦人，但我对此毫不介意。
str_npc12_personalitymatch_speech|真是血腥啊，阁下，真是血腥，当然了，这也是必要的。我相信{s11}对持续不断的战斗也和我一样有着矛盾心理，至少对非西哥特人的战斗是如此，他也一直这么说的。
str_npc13_personalitymatch_speech|身边有个像{s11}一样不错的弗里斯贵族一起战斗感觉真好。
str_npc14_personalitymatch_speech|啊，勇士，你今天出名了！{s11}也一样！我喜欢他。他熟知古希腊人的伟大诗篇和戏剧，吸引着像我一样有着艺术灵活的人。
str_npc15_personalitymatch_speech|将军。上场仗打完后，我有句关于{s11}的话要对你说，这个人头脑真好，让我叹服。
str_npc16_personalitymatch_speech|我得告诉你虽然{s11}表现的很粗野，有些没礼貌。但我能看穿他的内心，也许他自己也不知道，其实他灵魂深处是个优秀的基督徒。
str_npc1_personalitymatch_speech_b|{s11}真是好样的，总是富有幽默感，而且懂得如何讨女孩们的欢心。我非常肯定，他给我们的队伍带来了欢乐。
str_npc2_personalitymatch_speech_b|根据他在上一次战斗中的表现，我要说他是一个值得托付后背的人。而且，在一场大战之后，在篝火边能听到他讲述的神话与传说。我已经向他保证，有朝一日我将把他带到日耳曼的蜜酒厅。
str_npc3_personalitymatch_speech_b|我同时要坦白他是一个非常迷人的伙伴，具备了智慧和教养。也许……也许……哎，我说得太多了。今天天气是多么好啊！{reg59?女士:先生} 。
str_npc4_personalitymatch_speech_b|你让他加入我们的盾墙是非常好的选择。他在战斗方面还是有两手的。
str_npc5_personalitymatch_speech_b|从他非凡的战斗技艺可以看出，他确实是一位伟大战士的后裔。其实，他在战场上的表现本身就已经使他的家族倍感荣耀了。
str_npc6_personalitymatch_speech_b|我必须要承认{s11}让我感到十分安心。我向他忏悔了我的罪恶，然后他安慰我说只要诚心赎罪基督将宽恕我。他真的是一位充满智慧的人，我非常高兴他在我们的队伍中。
str_npc7_personalitymatch_speech_b|他像其他人一样向我传教，告诉我尽管身上遍布着战争的印记，上帝依然能从我的内心看到向善的本质。我不确定他的话完全值得相信——毕竟我是一名战士，而不是头脑简单的女佣——不过我依然愿意听从他的教诲。
str_npc8_personalitymatch_speech_b|同为身经百战的老兵，除此之外，我们能够容易地察觉这片土地的武士们在战斗中出现的任何破绽。我们的盾墙因为有了他而更加坚固。
str_npc9_personalitymatch_speech_b|如果她不是一位地位卑微的奴隶，我或许会向她求婚。很遗憾她不是纯洁自由之身，但是在行军途中与她交谈确实是打发时间的好方法。
str_npc10_personalitymatch_speech_b|事实上，我看到她是如何地忠实于您，哎哎，长官，别脸红啊。一个那样忠实的女子可是胜过一百名勇猛的战士呢。
str_npc11_personalitymatch_speech_b|显而易见她对您无比地崇敬。这，当然，让我感到无比高兴。如果我们所有人都能够像她一样，那些在肯尼莫的雅尔那里的不愉快经历又算得上什么？这些苦难，将把我们锻炼成人上之人。你不这样看么？
str_npc12_personalitymatch_speech_b|杀害同伴的阴影在他的心中挥之不去，但这也并不意味着要放弃希望。我们一起展望了光明的未来。如果统一英格兰各个好战的王国，那么这种种不幸将就此终结。
str_npc13_personalitymatch_speech_b|他有一颗战士的心，尽管它也精通于工匠的艺术。而且，虽然他不像其他人那样敏捷，但是能够在一支纪律严明的队伍中保持阵形。你让他成为我们盾墙中的一员真是个英明的决定。
str_npc14_personalitymatch_speech_b|他在篝火边上一次又一次讲述的他家乡的传说，让我在战争方面也获益良多，我特别赞赏的是在特洛伊战争中的种种英雄行为。在不久的将来，我们的盾墙将成为亚基米伦的英雄们那样的不朽传奇。
str_npc15_personalitymatch_speech_b|虽然他看上去无非是一位趾高气昂的军队领袖，他了解战争和其他的事务一样，需要细致地筹划和对战略形势的适当把握。印证了这点的依据就是，当我给他讲起这个传说的时候，他对特洛伊战争中军事方面的描写表现出浓厚兴趣。
str_npc16_personalitymatch_speech_b|{s11}是一个拥有非凡学识的智者。我喜欢在篝火旁听他发表见解，同时他也会听我对于基督的谈论。这样的结果就是在我们之间出现过很多次有趣的讨论，你真应该在某天加入我们。
str_npc1_retirement_speech|我对于在这片土地上来回奔波，为了别人的利益而抛洒自己的鲜血感到厌倦了。抢夺战利品是好的，但我已经得到足够多了。我将回到我父亲在哈德良长城附近的山洞里。抱歉，但这种危险的旅程我已经是受够了。
str_npc2_retirement_speech|我对于作为士兵的生活已经感到厌倦了。我将会把战斗所得全都换成美酒和美女。在此我再次向你表示感谢，祝你好运。
str_npc3_retirement_speech|我恐怕有些事情要告诉你。我觉得士兵的生活，虽然比做奴隶强，也不适合我。最后一次非常感谢你给了我自由，但是现在是时间来寻找一种更加平和的生活方式了。我现在有足够的钱回到我父亲索里克身边，并打算开始作为商人的生涯。我希望你不要生气，{reg59?女士:先生} 。
str_npc4_retirement_speech|我很荣幸与您一起战斗，但是我并不满意您的领导。就此别过。
str_npc5_retirement_speech|{reg59?女士:先生}——自从我加入你的盾墙，我们非常艰苦而忠诚地为你战斗，但是你并没有与之相配的领导才干来回报我们。所以我决定回去，希望我被流放的判决已经解除。
str_npc6_retirement_speech|我加入您的盾墙，抱着你能够带我走出黑暗的希望，而且我也确实在这里找到了一丝安宁。但是我对您的领导感到一些不安因为，主要是，我怀疑我应该去别处来获得救赎。
str_npc7_retirement_speech|我已经厌烦了这种被无休止战争所困扰的肮脏生活，看到弱小的人类被恐惧，贪婪，色欲和许多其他的怯懦行为动摇他们的决心。我已经有了一些积蓄，接下来就会回到北方的阿尔班，建立一支由苏格兰人和皮克特人组成的队伍。我将不会再为布立吞人和撒克逊人效力，希望我们不会兵戎相见。
str_npc8_retirement_speech|我在你的盾墙中服役，战斗，而且做得还不错。但是你的领导方式并不对我的口味。而且不管怎么说我还有其他安排。我将会拿走我应得的那一份战利品并去成立一个属于我自己的盾墙，然后渡海去弗里斯那里去收复我的土地。祝你好运。
str_npc9_retirement_speech|我们在一起合作赢得了不少战斗和荣誉，但是我对你的领导水平持保留态度。而且无论如何我也要除掉那条迷惑我父亲的毒蛇。现在要离开你的队伍了，后会有期。
str_npc10_retirement_speech|我已经受够了这种类似用双脚去丈量岛屿长度和宽度的劳碌生活。现在我已经有了足够的积蓄，可以到远离那些可恨的威尔士人的地方置一份产业。因此我想我应该去试一试。先这样吧，祝你一切顺利。
str_npc11_retirement_speech|你一直以来都对我很好，但是……我无法承受{reg59?嫉妒:爱情}带来的痛楚。请你原谅，但是我不想再看见你，自从我知道我仅仅只能做你身前的一缕亮光，{reg59?:而且，我是一位吟游女诗人，我必须要保持处子之身。}因此我要离开了，尽管我不知道该去哪。再见，{reg59?美女:帅哥} 。
str_npc12_retirement_speech|在你的盾墙里我过得还不错，能填饱肚子，也能充实钱包，还可以拓展对于疾病和伤痛的认识——这些我都很满意！但是现在继续呆在这里抑制了我的才能。我有责任将自己的新发现分享给其他的医师。当然首先需要以为精通拉丁文的书记员，这在英格兰非常少。我应该去罗马。
str_npc13_retirement_speech|我想告诉你我希望断绝我们之间的联系。我想去看看其他雇主，也许去罗斯碰碰运气。
str_npc14_retirement_speech|当你名声的光芒越来越耀眼的时候，我的名字恐怕就相形见绌，就像太阳掩盖了月亮的光辉。我已经下定决心去开拓一片自己的天地，祝你一切顺利！
str_npc15_retirement_speech|我很感激你让我加入队伍，但是后来发生的事情让我不满意。我打算转头去别处——也许回到君士坦丁堡去，也许去找一份别的工作，我还没有决定。
str_npc16_retirement_speech|你和你的人注定要面临信仰的失败。从你依然坚持那虚假异教神祗的做法，我看到你的灵魂已完全被邪恶所占据，就连我的言辞也无法让你改邪归正——所以，我只能希望上帝依然能宽恕你的滔天恶行。我走了。
str_npc1_rehire_speech|阁下——很高兴又见到你。我知道我们曾经意见有分歧，但是说实话，那却是我最快乐的时光。还有，说实话，我要再找其他工作也挺困难的，所以如果你希望我回来的话，我会很乐意再次和你共事。
str_npc2_rehire_speech|{reg59?女士:先生} ！再见到你太棒了。我得承认我曾经找过你。就像我告诉过你的，我买了大量的货物，运着它们准备穿越草原，但是太糟了，我又被野蛮人打劫了，货物全丢了。我猜这是老天在考验我。同时，人们告诉我你现在发展得非常好。告诉我，{reg59?女士:先生} ，你愿意再次雇佣我吗？
str_npc3_rehire_speech|你好，{reg59?女士:先生} ！很高兴再次见到你。说实话自从我们分别后我过得并不如意。我害怕。我拿出我们一起旅行这段日子的积蓄，希望做点生意，结果到现在也没做成一笔像样的。还有，我必须说，我始终担心我被原来的主人找到，再变成奴隶。也许我更适于作战而非谈生意，在营地里和战友一块吃饭要比喝蜜酒愉快得多。{reg59?女士:先生} ，我必须向你询问——你愿意再次带上我吗？
str_npc4_rehire_speech|嘿，你好，阁下。真是过了好久啊。我听说你过得不错啊。而我一直不够幸运。我想我可能还得在你身边拿起剑，命运最终会把我们引领到一起。我知道我们之间有些问题，但是能再次为你挥剑是我的荣耀。
str_npc5_rehire_speech|{playername}阁下！你的名声更加响亮了，即使远如在高山另一侧的我的家乡也能听到你的事迹。我回到家乡，希望我的流放结束了。不过，还没有，在我踏上我的山谷之前我就从我的家人那里得到消息，国王和他的人都在找我。所以之后我又回来了，希望你能忘记我之前所说的过分的话，我希望还能再次与你并肩作战。
str_npc6_rehire_speech|很高兴见到你，{reg59?女士:先生} 。我所经之地，人们都敬畏于你的所做所为。而我在分别后却过得不怎么样。无论我到哪里，我心中的恶魔都会回来。我的灵魂在受煎熬。不知道为什么，在你的队伍中我能感受到安宁，虽然我对你的领导能力还是抱有疑问。请允许我再次为你服务。
str_npc7_rehire_speech|阁下！很高兴见到你。很不幸，尽管我的钱都是和你在一起时分的战利品所得的，但是他们仍荒唐地指控我是个叛国者，如影随行。没有皮克特战士愿意在我的指挥下作战。该死的，我猜，那种方式的生活已经过去了。你愿意我再回来么？
str_npc8_rehire_speech|你好，{playername} 。我希望你不再介意我离开时说的那些伤人的话。我一直在撒克逊人中招兵，看看是不是能找到足够的人手征服弗里西亚的土地。但到现在还找不到足够的人装满一长船。就算我招来的人也很快就开小差了——我还得说一句，他们开溜之前喝光了我攒的金子。所以我想要回到我们一起战斗的日子。那是些美好的日子，也是有意义的日子。
str_npc9_rehire_speech|噢，亲爱的{reg59?女士:先生} ！见到你太好了！我为这块大陆的许多领主服务过了，但是他们让我失望透顶了。他们中有一半人让我去向其他领主收债，就好像我是银行的跑腿的似的；另外一些领主叫我去追回他的农奴，就好像我是个看农场的似的。还有一个居然叫我去谋杀一个他的债主！我一直在找你，希望能再次加入你的队伍。
str_npc10_rehire_speech|阁下！很高兴见到你。显然，我不是个合格的农场主。我对那些雇佣工太手软了，而且还稀里糊涂的被他们抢劫了。我想我最擅长的还是战斗了，即使是与布立吞人和莫西亚人在一起。告诉我，你还在找合适的人吗？
str_npc11_rehire_speech|{reg59?女士:先生}，我们分开后我想了好久。我现在知道，即便是有时希望渺茫，但也比离它越来越远要强。在这之后，我总觉得还有点希望。所以，{reg59?女士:先生} ，能把我带走么？
str_npc12_rehire_speech|阁下！能见到你这样诚实的人真是太好了。这个世界充满了谎言。我回到家乡准备发表我的见解，雇佣的一些誊写员也做足了功课，就等着委任下达了。但是显然与陈腐的典籍相比，那些大学完全不关心那些真正的医药知识，而更愿意讨论类似魔法的理论。我会继续尝试的，但首先我需要些钱。你在找个外科医生吗？
str_npc13_rehire_speech|阁下，见到你太好了。上次我们分别后，我发誓我再也不服务于你了，但可能我的判断太草率了。整个不列颠和爱尔兰，人们都在唱歌传颂你。我在其他领主的军队里呆腻了。相信我，看到他们的表现重塑了我对你的看法。如果你能让我加入队伍，我还会为你作战。
str_npc14_rehire_speech|你好，勇士。我一直希望能再见到你。我所到之处都有故事与诗歌在传颂你的事迹。我承认在我们分开后我感到阵阵悔意。我也得承认当初离开是对你的声誉的阵阵嫉妒所致。我想我要再次在你身边战斗即使被你的荣耀的光芒所掩盖。也许我们可以再次并肩骑行，哪怕只是一小会？
str_npc15_rehire_speech|你好，将军。见到你我不能说我不高兴。在和你分别后我又跟了另外一个主子，但是到发工钱的时候那个领主除了借口和对我工作的埋怨没给我一分钱。我不能说在你的队伍里我过得很开心，但是至少每次战斗后我都能切实拿到我的报酬。你还在招人吗？
str_npc16_rehire_speech|我想再给你和你的人一次机会。一个天使来到我的梦里，告诉了我你不朽灵魂的未来，天使说，你最终是否能把握上天堂的唯一机会，完全取决于我的传教工作。你是我的责任。所以，我求你的队伍再一次接受我，此时，你正在聆听上帝的教诲。
str_npc1_home_intro|阁下，我们快到哈德良长城了，十八年前我在附近一个山洞里出生，在这里我们应该停下来去感受它的悠久历史，那些传说中英勇善战的罗马人，就居住在这里。
str_npc2_home_intro|里伯！那是二十年前我出生的地方。我是国王之子，却也是一名奴隶，但还是全丹麦最好的一个诗人。
str_npc3_home_intro|你能闻到吗？它是邪恶的味道。这是肯尼莫的味道。我是多么的讨厌那个地方！在那里我度过了我人生最悲惨的岁月。只是在想起它就让我无比恶心。
str_npc4_home_intro|也许你不了解昂黎丘，那是一座宏伟的的木制要塞。
str_npc5_home_intro|哦，也许你不了解，丁泰格尔是康比亚最强大的堡垒之一。在被迫流亡之前的很长一段时间里，我在这里曾作为一名队长为它的领主效忠。
str_npc6_home_intro|也许你并不了解位于西撒克逊王国的坎塔拉，这个地方正是我们搭乘的船，沃登里克号，应该把我带到的地方。但是在那次维京海盗的袭击中目的地改变了，也永远的改变了我的一生。
str_npc7_home_intro|注意，小心些。我们现在位于阿尔班王国的泰罗丘附近。它是北边最强大的王国。
str_npc8_home_intro|我们在弗里斯王国，杜里斯特是这里的主要城镇。几年前，我们弗里斯人被法兰克人所征服，但目前我们的国王是一个叫罗里克的丹麦人。嗯，他不是我们真正的国王，弗里斯人不承认他，但不得不接受他的权力。我们必须先保住自己的脑袋。
str_npc9_home_intro|看看远处，那里是兰都斯翰，也是东盎格鲁的权力中心。
str_npc10_home_intro|快看，那是贸易中心伦敦威克，也是撒克逊人的家园。这个地方有着辉煌的历史，而我相信它将拥有更加灿烂的未来。
str_npc11_home_intro|那是盐的味道和渔民的汗水。这是家的温暖……这里是图斯伯格。
str_npc12_home_intro|也许你并不了解海德贝尔，如果你有兴趣的话。
str_npc13_home_intro|再往北，越过挪威的国土，就是我的民族所在，斯维亚，他们都是强大的战士，拥有征服的野心。
str_npc14_home_intro|啊，凯希亚！这样一个可爱的地方，就在艾柔女神的脚下，那里也是明斯特的势力范围。这个充满诗意的胜地，罗马人在拉丁语中称她为爱尔兰。
str_npc15_home_intro|你看见那边那个村庄了吗？那就是霍达兰。
str_npc16_home_intro|哦，我的上帝！那就是维坦要塞。我出生在附近的一个小村庄，由于我的父母不能照料我，他们就把我交给了维坦要塞里的僧侣。
