menu_start_game_0|欢迎来到维京征服世界（游戏版本V2.064）。
mno_castle_wait|在这里休息一会儿{s5} 。
mno_castle_wait_door|休息。
mno_town_alley|招募潜在兵种。
mno_town_visit_port|去城镇港口。
mno_banquete_mead|为我的手下在{reg0?城镇:城堡}举行庆功宴，购买酒和食物。
mno_banquete_mead_door|扬帆起航。
mno_set_sail|从港口起航。
mno_set_sail_door|扬帆起航。
mno_town_leave|离开……
mno_town_leave_door|离开此地。
menu_cannot_enter_court|领主的大厅里正在举行一场宴会，但是你还没有足够资格进入。或者想办法增加声望来赢得入场劵，或者在竞技大会上胜出也是个捷径。
menu_lady_visit|你想要拜访谁呢？
mno_visit_lady_1|拜访{s12}
mno_visit_lady_2|拜访{s12}
mno_visit_lady_3|拜访{s12}
mno_visit_lady_3_door|花园大门。
mno_visit_lady_4|拜访{s12}
mno_visit_lady_5|拜访{s12}
mno_visit_lady_6|拜访{s12}
mno_visit_lady_7|拜访{s12}
mno_visit_lady_8|拜访{s12}
menu_town_tournament_lost|你在竞技大会中被淘汰了。{s8}
menu_town_tournament_won|你在{s3}的竞技大会中获得了优胜！听到周围的人们高呼着你的名字，你感到无限荣耀。除此之外，你还获得了{reg9} 先令的奖金。
menu_town_tournament_won_by_another|作为当日最终胜利的{reg3?人:人} ，{s1}赢得了该场竞技大会的奖金以及荣誉。
menu_town_tournament|{s1}你现在处于竞技大会中的第{reg0}轮，现在还剩有{reg1}名参与者。下一轮中，将会有{reg2}队，其中每队有{reg3}{reg4?人:人}参加战斗。
mno_tournament_view_participants|查看参与者名单。
mno_tournament_bet|在自己身上下注。
mno_tournament_join_next_fight|进入下一轮。
mno_leave_tournament|从竞技大会中退出。
menu_tournament_withdraw_verify|你确认要从竞技大会中退出吗？
mno_tournament_withdraw_yes|是的，这是毫无希望的努力。
mno_tournament_withdraw_no|不，只要还有一丝机会胜利！
menu_tournament_bet|现在的比率是{reg5}比{reg6} 。{reg1?你已经在你身上下了{reg1} 先令的赌注，如果你胜出的话，你会赢得{reg2} 先令。:}你想下多少赌注？
mno_bet_100_denars|100先令
mno_bet_50_denars|50先令
mno_bet_20_denars|20先令
mno_bet_10_denars|10先令
mno_bet_5_denars|5先令
menu_tournament_bet_confirm|如果你下{reg1} 先令的赌注并且赌中的话，你会得到{reg2} 先令。决定了吗？
mno_tournament_bet_accept|可以。
mno_tournament_bet_cancel|算了。
menu_tournament_participants|你从一位正在哭泣的失败者那里打听到了这场竞技大赛中参与者的名单。他们是：^{s11}
menu_collect_taxes|队员中最高交易技能为{reg2}级，由此{reg3?你预期:{s1}预期}需要{reg4}天来完成征税……
mno_start_collecting|开始征收。
mno_collect_later|待会再说。
menu_collect_taxes_complete|你已经在{s3}收集完{reg3} 先令的税金。{s19}看到你把这笔钱交给他会很开心的。
menu_collect_taxes_rebels_killed|你成功地镇压了反抗。任何想站起来反抗的人将会惧怕并再三考虑的。
menu_collect_taxes_failed|在村民们暴动之前，你只能在{s3}收到{reg3} 先令的税。{s1}不会开心的，不过这总比什么都没有好……
menu_collect_taxes_revolt_warning|{s3}的人们对你要求的高税款表示强烈的义愤。如果你继续压迫他们，他们将准备起来反抗。
mno_continue_collecting_taxes|依然像以前那样征税。
mno_halve_taxes|同意减轻一半的税款。（{s1}也许会不满）。
menu_collect_taxes_revolt|当你在{s3}收取税款的时候，突然看见一大群愤怒的{reg9?农民:居民}已经对你提出的高税款忍无可忍，正挥舞着火把和武器逐渐向你逼近。这是要向你开战！
menu_train_peasants_against_bandits|队员中最高训练技能为{reg2}级，由此{reg3?你预期:{s1}预期}需要{reg4}小时来进行理论讲解，使这些农民变成英勇的战士。在这期间他们将会学到战斗的基本知识以及如何去沉着冷静地应对一切战斗。
mno_make_preparation|训练他们。
mno_train_later|待会再说。
menu_train_peasants_against_bandits_ready|你对那些农民们进行了一些最基本的训练，你认为他们中的{reg0}人{reg1?已经:已经}完全地掌握了训练的内容，{reg1?他们:他}已经准备好进行实战演习了。
mno_peasant_start_practice|开始演习。
menu_train_peasants_against_bandits_attack|当你准备继续训练的时候，一个从村子里来的卫兵向你奔来，呼喊着告急。那些强盗已经出现在视野里，奔向{s3} 。村长恳求你组织那些你训练的民兵去抵抗他们。
mno_peasants_against_bandits_attack_resist|准备开战吧！
menu_train_peasants_against_bandits_success|这些强盗被打败了！那些还活着的和意识还清醒的都夹着尾巴逃跑了，他们惧怕这些农民和他们的新教官。经过他们的抢劫以后，村民几乎没有什么东西剩下了，但他们还是拿出了任何他们有的东西以表达感激之情。
menu_loot_options|战斗结束了。你想怎么处理这些战利品？
mno_loot_0|像平常一样分配战利品。
mno_loot_1|自己先挑选战利品。
mno_loot_2|把所有的战利品留给你的手下。
mno_loot_3|留下战利品，并花些时间来埋葬死者。
menu_landing_point_encounter|你要下船吗？
mno_disembark_no|不。
menu_landet_ships_encounter|你要上船吗？
mno_reembark_no|不。
menu_ferry_encounter|渡船的主人会以{reg7} 先令的报酬把你送到另一边。
mno_back|返回。
menu_port_encounter|你发现了{s2}的港口。{s3}
mno_attack|进攻。
mno_merge|合并船队。
menu_center_reports|城镇名：{s1}^地租：{reg1} 先令^关税：{reg2} 先令^储粮可维持{reg3}天
mno_to_price_and_productions|报告价格与产品。
menu_price_and_production|产品有：^（提示：基础的/ 原材料加工而来的/ 材料加工并加以修饰的)^{s1}^^价格因素有：^{s2}
menu_town_trade|你向市场走去。
mno_assess_prices|估价。
mno_trophies|出售你的战利品。
mno_highking_trophies|兑现你的至高王奖杯。
mno_trade_with_arms_merchant|与武器商人交易。
mno_trade_with_armor_merchant|与盔甲商人交易。
mno_trade_with_horse_merchant|与马匹贩子交易。
mno_trade_with_goods_merchant|与杂货商人交易。
mno_back_to_town_menu|返回。
menu_trophy_premium|你出售了战利品，获得了金钱和经验。
mno_premium_a|交易你的战斗战利品。
mno_premium_b|交易你的战争战利品。
mno_premium_c|交易你的史诗战利品。
menu_trophy_hihgking_premium|至高王奖杯是令人垂延的宝物，因为它们只属于那些能够把众多领地收于旗下的强大的领主，兑换掉它能够带来大量的金钱和经验。
mno_premium_norse|兑换诺尔斯国王奖杯
mno_premium_cymry|兑换布立吞国王奖杯
mno_premium_irish|兑换戈伊德尔大首领奖杯
mno_premium_saxon|兑换盎格鲁国王奖杯
menu_town_trade_assessment_begin|你偶然听到了一些关于物品价格的情报。^你试着从这些情报中寻找到一些有用的东西。
menu_town_trade_assessment|队员中最高交易技能为{reg2}级，{reg3?你尝试算出:{s1} 尝试算出} 利润最高的商品。{s2}
menu_sneak_into_town_suceeded|假装成穿着破烂的朝圣者，你骗过了守卫，顺利的混入城里。
menu_sneak_into_town_caught|在你尝试溜进去时，一名守卫发现了你并发出了警报！你必须在所有守卫都开始搜捕你之前从大门逃出去。
mno_sneak_caught_fight|杀出一条血路！
mno_sneak_caught_surrender|投降。
menu_sneak_into_town_caught_dispersed_guards|你轻易的甩掉了守卫，消失在街道的深处。
menu_sneak_into_town_caught_ran_away|你杀开一条血路终于夺关而走，迅速逃到了郊外的安全地带。{s11}
menu_enemy_offer_ransom_for_prisoner|{s2}想用{reg12} 先令与你交换{s1} 。
mno_ransom_accept|接受这个建议。
mno_ransom_reject|拒绝这个建议。
menu_training_ground|你到达了训练场。在这里你可以提升你的战斗技巧。你想要进行哪种训练？
mno_camp_trainer|和教练交谈。
mno_camp_train_melee|对战练习。
mno_camp_train_archery|射击练习。
mno_camp_train_mounted|骑乘练习。
menu_training_ground_selection_details_melee_1|你想要同时面对几个对手？
mno_camp_train_melee_num_men_1|一。
mno_camp_train_melee_num_men_2|二。
mno_camp_train_melee_num_men_3|三。
mno_camp_train_melee_num_men_4|四。
mno_cancel_dot|取消。
menu_training_ground_selection_details_melee_2|选择你的{reg1}号对手：
mno_training_ground_selection_details_melee_random|随机选择。
menu_training_ground_selection_details_mounted|你想要用哪种武器进行训练？
mno_camp_train_mounted_details_1|单手武器。
mno_camp_train_mounted_details_2|长杆。
mno_camp_train_mounted_details_3|弓箭。
mno_camp_train_mounted_details_4|投掷。
menu_training_ground_selection_details_ranged_1|你想要用哪种远程武器进行训练？
mno_camp_train_ranged_weapon_bow|弓和箭。
mno_camp_train_ranged_weapon_crossbow|弩。
mno_camp_train_ranged_weapon_thrown|飞刀。
menu_training_ground_selection_details_ranged_2|你想要在距标靶多远的距离练习？
mno_camp_train_ranged_details_1|10码。
mno_camp_train_ranged_details_2|20码。
mno_camp_train_ranged_details_3|30码。
mno_camp_train_ranged_details_4|40码。
mno_camp_train_ranged_details_5|50码。
mno_camp_train_ranged_details_6|60码。
mno_camp_train_ranged_details_7|70码。
menu_training_ground_training_result|{s7}{s2}
menu_marshal_selection_candidate_ask|{s15}很快就要为{s23}选出新元帅。一些领主推荐你为候选人。
mno_marshal_candidate_accept|让{s15}知道你想以元帅之职为其效忠。
mno_marshal_candidate_reject|告诉所有人你这几天很忙。
menu_captivity_start_wilderness|返回
menu_captivity_start_wilderness_surrender|返回
menu_captivity_start_wilderness_defeat|你被敌人俘虏了。
menu_captivity_start_castle_surrender|返回
menu_captivity_start_castle_defeat|返回
menu_captivity_start_under_siege_defeat|你被敌人俘虏了。
mno_continue1|继续……
menu_captivity_wilderness_check|返回
menu_captivity_end_wilderness_escape|经过了几天痛苦的俘虏生活。你找了个机会逃跑了！
menu_captivity_castle_taken_prisoner|卫兵们包围了你，夺下了你的武器。他们咒骂着把你丢进了地牢，接下来有你受的了。
menu_captivity_rescue_lord_taken_prisoner|你在自己的身份暴露之前一直伪装成朝圣者，这激怒了那些守卫。他们狂暴而粗鲁地痛打你，不知道过了多长时间以后才停息下来……
menu_captivity_castle_check|返回
menu_captivity_end_exchanged_with_prisoner|经过了数天的关押，抓你的人用你交换了一名俘虏，你自由了。
menu_captivity_end_propose_ransom|你在阴暗的地牢中不知道呆了多久，抓你的人提供了一个选择：从你藏钱的地方交出{reg5} 先令，他们就会放了你。你决定……
mno_captivity_end_ransom_accept|接受这个建议。
mno_captivity_end_ransom_deny|拒绝他，等待更好的机会。
menu_captivity_castle_remain|时光流逝，你在监牢里痛苦的忍受着被囚禁的痛苦，还有轻蔑的笑话……
menu_kingdom_army_quest_report_to_army|{s8}邀请你一起去参加{reg4?她:他} 的远征。你需要带上至少{reg13}名战士，如果现在不够的话，你需要尽快达到要求的人数。
menu_kingdom_army_quest_messenger|{s8}派信使来告诉你，他要给你指定一个任务，并要求你尽快去见他。
menu_kingdom_army_quest_join_siege_order|{s8}派信使来命令你加入对于{s9}的围攻。不论付出多大的代价都必须拿下{s9} 。
menu_kingdom_army_follow_failed|你和{s8}走散了。元帅认为你可能另有要务，不过他对于你的支持还是表示感激。
menu_invite_player_to_faction_without_center|你收到了一份封臣的邀请！^^{s9}的{s8}派遣了一个王家信使来亲自递送这份邀请。你将成为{s9}的一位封臣，从此冠以{阁下/女士}的称呼，但是并没有给予你封地以及额外的头衔，当然作为回报{s8}要求你宣誓对他效忠并与他一起加入他的远征。虽然他没有许诺封地和头衔，但如果你拒绝这个请求的话，他无疑会感到冒犯的……
mno_faction_accept|接受邀请！
mno_faction_reject|拒绝邀请。
menu_invite_player_to_faction|你收到了一份封臣的邀请！^^{s9}的{s8}派遣了一个王家信使来亲自递送这份邀请。你将成为{s9}的一位诸侯，从此被人以{阁下/ 女士}称呼，但是并没有给予你封地以及额外的头衔，当然作为回报{s8}要求你宣誓对他效忠并与他一起加入他的远征。他许诺给你{s2}的封地和头衔，如果你不同意这个请求的话他一定会被激怒的……
menu_invite_player_to_faction_accepted|为了成为一名封臣，你必须向{s3}宣誓效忠。你必须找到他并当面发誓。{s5}
menu_question_peace_offer|你收到了一份停战的邀请^^{s1}发给你一份停战邀请。你将如何回复？
mno_peace_offer_accept|接受
mno_peace_offer_reject|拒绝
menu_notification_sortie_possible|敌报：已经在{s4}的城墙外发现敌人。{s5}和其他领主正准备出击。如果愿意的话你可以加入他们。
menu_notification_casus_belli_expired|王国没有回应^^{s1}没有回应{s2}的挑衅，这导致{s3}在{reg4?她:他}手下的好战派中威信扫地……^
menu_notification_lord_defects|背叛：{s4}已经抛弃了{s5}并且加入了{s7} ，带着{reg4?她:他}的封地一起
menu_notification_treason_indictment|叛国控告^^{s9}
menu_notification_border_incident|边界冲突^^有消息传来，{s9} 。虽然传言真假未知，但有件事是确定的——这件看来很小的事件在{s4}内部已经掀起轩然大波，使得与{s3}的战争一触即发……
menu_notification_player_faction_active|现在，这片土地被冠以你的名字，而不跟其他王国有任何关系。你成为了一位能独立行使权力的君王，你的宫廷暂时坐落在{s12} 。然而，在北地的其他国王的第一反应，就是把你当做一个威胁，因为，如果每一个强势的军阀都可以夺取王位，那么国王的权威肯定会受到质疑。^^你可能会觉得这个时候宣誓效忠于一个现有的国家，是个非常不错的选择。如果你想继续当一个拥有主权的君王，那么首先你必须建立自己独立的统治权。这可以通过多个办法进行，比如与出身高贵的家族联姻，吸纳新的领主，管理你的领地，应付其他国王，以及派遣你的盟友去执行任务。^^无论如何，你首先要从你的同伴当中，任命一位首相，来处理各种事务。不同的同伴有不同的才能。^你可以不时地更换你的首相人选，还可以通过与首相对话，改变你的宫廷的所在地。
mno_appoint_spouse|任命你的夫人，{s10}……
mno_appoint_npc1|任命{s10}
mno_appoint_npc2|任命{s10}
mno_appoint_npc3|任命{s10}
mno_appoint_npc4|任命{s10}
mno_appoint_npc5|任命{s10}
mno_appoint_npc6|任命{s10}
mno_appoint_npc7|任命{s10}
mno_appoint_npc8|任命{s10}
mno_appoint_npc9|任命{s10}
mno_appoint_npc10|任命{s10}
mno_appoint_npc11|任命{s10}
mno_appoint_npc12|任命{s10}
mno_appoint_npc13|任命{s10}
mno_appoint_npc14|任命{s10}
mno_appoint_npc15|任命{s10}
mno_appoint_npc16|任命{s10}
mno_appoint_default|任命当地的杰出人才……
menu_minister_confirm|{s9}正在你{s12}的大厅里。你应该不时向大臣咨询意见，以免悬疑不决的事项削弱你的权力。
menu_notification_player_faction_deactive|你的王国失去了所有的领地。
menu_notification_player_wedding_day|{s8}想告诉你，你在{s10}即将举行的婚礼已经准备就绪，望你尽快出席。
menu_notification_center_under_siege|{s1}被{s3}的{s2}围攻了！^^城镇被敌人围攻，守军有足够的防御，他们希望能够抵挡敌军。
menu_notification_village_raided|敌人袭击了你的领地^^{s1}被{s3}的{s2}洗劫了！
menu_notification_village_raid_started|你的村子正受到袭击！^^{s3}的{s2}正在破坏{s1} 。
menu_notification_one_faction_left|北地被一个王国征服了。^^{s1}打败了所有对手并建立了一个统一的王国。^^你是不列颠之王！
menu_notification_oath_renounced_faction_defeated|你从前所属的势力被击败了^^你在与{s1}的战斗中取胜了！你从这个势力中脱离了出去。
menu_notification_center_lost|领地失去^^因为{s2}你失去了{s1} 。
menu_notification_troop_left_players_faction|背叛！^^{s1}从{s2}离开了，并加入了{s3} 。
menu_notification_troop_joined_players_faction|好消息！^^{s1}从{s2}离开了，并加入了{s3} 。
menu_notification_war_declared|宣战^^{s1}向{s2}宣战！！^{s57}^^铁匠们停止生产犁转而锻造剑与矛。战争爆发了！
menu_notification_peace_declared|和平协议^^{s1}和{s2}达成了和平协议！^{s57}^^两国军队停止了战斗，这或许只是暂时的停战，另外一场战争正在酝酿，也可能是真挚而又持久的友好关系。
menu_notification_alliance_declared|结盟协议^^{s1}和{s2}结成了联盟^{s57}^^两国将他们的命运结合在一起，更加强大起来了。
menu_notification_alliance_offer|{s1}想和你组成联盟，你的答复是？
mno_offer_accept|接受
mno_offer_reject|拒绝
menu_notification_kingdom_reborn|暴动！^^人们打败了{s13} 并拿走了他们的武器，{s14} 把领地从{s12} 手中抢走了。{s13} 已经被重建！国王万岁！
menu_notification_center_restoration|当地暴动！^^{s12} 的人民拿起了武器并恢复了{s11}。
menu_notification_faction_defeated|阵营覆灭^^{s1}不再存在了。
menu_notification_rebels_switched_to_faction|成功叛变^^你的叛变十分成功！现在你的势力将{s12}尊为{s11}唯一的统治者。
menu_notification_player_should_consult|你的首相传话来说，王国内部有些问题正在酝酿，如果不及时处理的话会逐渐威胁到你的王权。你必须尽早与他进行磋商。
menu_banquete_moral|你命令士兵们卸下武器，然后邀请他们进入大厅，并且逐级而座，最亲密的人则坐在你最近。^女佣们以丰盛的菜肴和蜜酒款待着来宾。你为这场盛宴支付了一笔巨额的账单，不过你认为你的部下们应当享有这一切。^因为他们是与你同生共死、助你横扫千军的人，他们也是对你无比忠诚的追随者。^夜深了，许多人喝得烂醉如泥，有的又叫又唱，而一些人呕吐不止，其他人则为了吸引姑娘们的青睐而像斗鸡一样打闹。^在你背后，吟游诗人歌颂着你的丰功伟绩和英雄荣耀。你像领主一样行动，你也确实是个领主，一个“牧人”。
mno_banquete_ok|你与士兵们一起大喝大笑大叫。
mno_banquete_ok2|你打算保持清醒，细细品尝佳酿，直到你微醉为止，而不超出分量。
menu_comprar_cattle2|总共有{reg5}头牛，每头{reg6} 先令。您想买多少？
mno_cattle_okc|1头。
mno_cattle_ok2c|5头。
mno_cattle_ok3c|算了。
menu_notification_lady_requests_visit|一位老妇人找到了你的部队，给了你手下一封纯蜡密封着的信。地址是写给你的。当你打这封信时，发现是{s15}写来的。上面说：“上次来访，相聚甚欢。{s14} 。我现在{s10} ，{s12} 。”
mno_continuewo|让那个女人通知她的女主人，你很快就会来的。
mno_continuewo2|让那个女人通知她的女主人，你不愿意。
mno_nurse|在泉水边等待
mno_nurse2|在泉水边等待
menu_kill_local_merchant_begin|你发现了你的目标，他转弯走进了一条背街的巷子。这将是你发起袭击的最好时机。
menu_debug_alert_from_s65|调试警报：{s65}
menu_auto_return_to_map|树桩
mno_continue_1l|进攻贼巢……
mno_trade_withbanditsl|把赃物卖给强盗。
mno_leave_no_attackl|离开……
mno_leave_victoryl|继续……
mno_leave_defeatl|继续……
menu_notification_player_faction_political_issue_resolved|经过和王国贵族们的商议，{s10}已经决定授予{s12}{s11} 。
menu_notification_player_faction_political_issue_resolved_for_player|经过和王国贵族们的商议，{s10}已经决定授予你{s11} 。你可以拒绝这项任命，但是这也许意味着短时间内你不会再收到其它任何授予。{s12}
mno_accept|接受任命
mno_decline|拒绝任命
menu_establish_court|如果你要将{s4}建为自己的都城，就需要把它翻修一番。具体来说，你需要一套工具以及一些银子，也许你的追随者还需要花点时间来重新部署。你要继续吗？
mno_establish|将{s4}建为你的都城
mno_hold_off|等等…… 
menu_notification_relieved_as_marshal|{s4}想要通知你不再需要继续担当元帅之职了。不过，在过去的{reg4}天里，你勇于维护国家的利益，为了表示对你的敬意，{reg8?她:他}赏赐给你{reg5} 先令。
menu_monasterio_visit|你来到了一所修道院。这里占地广阔，附有一个教堂，供给修道士和他们仆人的房间，以及一个带牲畜圈的园地，这个地方富得流油！^^{s13}
mno_enter_interiorm|拜访院长。
mno_enter_interiorm_door|前往院长处。
mno_entermo|参观修道院。
mno_entermo_door|离开。
mno_monasterio_recruitm|询问是否有人想要加入你的部队。
mno_donatemo|祈祷并捐赠表示敬意。(500先令)
mno_aprender_leermo|学习如何阅读。(4000先令)
mno_convertirmo|转信基督教。
mno_camp_wait_heremo|等待一段时间。
mno_pillage_monasterymo|抢劫修道院。
mno_leavemo|离开。
menu_paganholysites_visit|你来到了一个神庙。在这个地方，古老的斯堪的纳维亚神在这里被崇拜。这个地方存着大量的财富！^^{s13}
mno_enter_hofho|进入神庙。
mno_enter_hofho_door|离开。
mno_hof_recruitho|尝试招募狂战士。
mno_donate_hofho|向神庙捐款(500先令) 。
mno_convertir_norsegho|转而跟随北欧众神。
mno_camp_wait_hereho|等待一段时间。
mno_pillage_hofho|掠夺神庙。
mno_leaveho|离开。
menu_saquear_monasterio|哪里有财富，哪里就有杀戮。你将手下缺少宗教约束的人派遣到{s3} ，不留活口，大肆掠夺。火焰与死亡在这里四处蔓延。你所掠夺的财产和战利品共值{reg3} 先令。^^{s7}^^{s4}^
mno_backho|离开此地。
menu_saquear_paganholysite|血与财富。那些你手下的毫无顾忌的战士们冲往{s3} ，杀死了每一个挡在他们路上的人并掠夺着财富。猖獗的火焰与死亡席卷了这个地方。通过这次掠夺你获得了{reg3} 先令。^^{s7}^^{s4}^
mno_backpa|离开此地。
menu_refugee_recruit_troops12|有一些寡妇和孤儿想要加入你，并且希望和你的战士们开始一段新的生活。
mno_acept_themmo|雇佣他们(20先令) 。
mno_back_to_town_menumo|回去。
menu_refugee_recruit_troops22|没人想要加入你。
menu_refugee_recruit_troops32|一些牧师和农民想要加入你的部队。
mno_acept_themmo2|雇佣他们。(60先令)
menu_refugee_recruit_troops42|一些教士和年轻的勇士想要加入你的部队。
mno_acept_themmo3|雇佣他们。(400先令)
menu_berserker_recruit_2troop|这里有两个狼皮狂战士可以加入你的部队。
mno_acept_thempa|欢迎他们！
mno_back_to_town_menupa|回去。
menu_berserker_recruit_troop|这里有两个狂战士可以加入你的部队。
mno_acept_thempa2|欢迎他！
mno_back_to_town_menupa2|回去。
menu_nonberserker_avaiable_troop|狂战士们并不愿意加入你的部队。
menu_nonberserker_renown_low|你看起来像一个乞丐，并不像是一个值得追随的领主。你需要更多的声望（大于150） 才能让狂战士加入你的部队。
menu_panel_comandante|开始战斗前……
mno_choice_1comm|用振奋人心的演讲来激励你的士兵。
mno_choice_2comm|以荣誉之名，向敌人发起决斗。
mno_choice_3comm|游击：派你的人去搅扰敌军的前进。
mno_choice_4comm|向众神献祭。
mno_choice_5comm|算了。
menu_escaramuza_1|长官，不好了！敌军指挥官破解了你的战术，我们还被敌人的远程部队打了个措手不及。^^我军伤亡人数：{s8}
mno_damn|该死！
menu_escaramuza_2|我们的士兵早已悄悄埋伏在对方附近的盲点处，很顺利地接近敌人并发动了奇袭，重创了他们。^^敌军伤亡人数：{s9}
mno_defendiendo_2e|干得漂亮。
menu_escaramuza_3|我们的士兵在靠近敌军的时候，发现了对方的指挥官已部署好了远程部队来掩护其余士兵的前进。为了避免不必要的伤亡，我们的士兵放弃攻击并迅速撤退。
mno_defendiendo_3e|是的。
menu_lucha_2_no|看来对方无人应战。
mno_defendiendo_4e|后退。
menu_lucha_1_d|一名敌军武士单枪匹马走向你的军队，几乎进入了你们投石射程之内。他将脖子上的羊皮脱下，可以看到他正在跳跃准备热身。他把斗篷甩到一边，脱掉长袍和靴子后近乎全裸，只拿着盾牌和长矛。他是敌人中的冠军武士，指着你的军队向你们发起挑战。^^你还没来得及开口，一个家伙从队列中跑出来。他既不是老兵也算不上很有实力的人，但他非常勇敢。^^你的武士，你的冠军武士向敌人前进。他们相互绕着圈子对峙，模仿着对方的行动。你的武士的神经终于崩溃，他开始放低盾牌用长矛不停猛戳，而敌方武士则抓住这个机会，迅速将长矛刺入你的武士的心脏……^^你输掉了决斗。
mno_defendiendo_5e|后退。
menu_lucha_2_v|你的武士走出队伍大摇大摆地晃到敌人军前，转身掀起衣服，对着敌人撅起屁股。敌人的冠军武士愤怒地冲向他，扔出一根标枪，落在了离你武士几步远的地方，随后敌人的武士拔剑怒吼着向你的武士冲来。^^你的武士迅速做好迎战准备，攥着长矛等待敌人。两个武士都用自己的盾牌相互撞击，想让对方先露出破绽。^^仔细看，你看到了决斗中的第一滴血，直到最后一滴，是你的武士把长矛捅进了敌人的嘴里。你的武士屏住呼吸然后转身大喊:“我可不是能一口吃下的！”^^你赢得了决斗。
mno_defendiendo_6e|后退。
menu_lucha_1_p|对方首领走出队列用手指着你，要你和他决斗。
mno_defendiendo_7e|接受。
mno_defendiendo_8e|后退。
menu_sacrificio_off|神明仍然对你的祈祷和牺牲缄默不语。
mno_sacri_1s|后退。
menu_sacrificio_1|宰杀掉的动物的内脏中都是蛆虫，这是一个不祥之兆。^^也许今天不应该出战。
mno_sacri_1s2|后退。
menu_sacrificio_2|当你看着被宰杀的动物流血时，一名士兵指向天边，发现有一只叼着蛇的鹰。真是个好兆头。^^进攻的时机已经成熟。
mno_sacri_1s3|后退。
menu_sacrificio_3|当你把匕首刺进牲口的脖子时，它从你的手下挣脱出去跑了几步后倒在地上，面向着敌军。这只能是一个不祥的征兆。^^也许今天不该作战。
mno_sacri_1s4|后退。
menu_sacrificio_4|当挖开被屠宰动物的肠子时，你发现了一个银吊坠环。这肯定是个好兆头。^^你已准备好作战。
mno_sacri_1s5|后退。
menu_discurso_off|你上前一步想说出些居高临下的话，但是没用，你的神经太脆弱，你一个字也说不出来。
mno_defendiendo_1_bd|后退。
menu_discurso_1|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“当村庄里年轻的小伙子和漂亮姑娘们问起你的伤疤时，你可以告诉他们，你是一名全不列颠和爱尔兰最伟大的将领所率领的军队中的战士。”
mno_defendiendo_1_cd|精彩的演讲，后退。
menu_discurso_2|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“当村庄里年轻的小伙子和漂亮姑娘们问起你的伤疤时，你可以告诉他们，你是一名全不列颠和爱尔兰最伟大的将领所率领的军队中的战士。”
mno_defendiendo_1_dd|一般的演讲，后退。
menu_discurso_3|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“想想看，在不列颠，那些胆小鬼们和老弱病残放羊，种地，流尽血汗，能得到什么？什么也没有！他们就像畜牲一样活着！今天我们作为自由人站在这里，真正的事业正要开始，我们的汗水和鲜血正在沸腾，为了什么？为了荣誉！为了光荣！为了财富！”
mno_defendiendo_1_ed|好的演讲，后退。
menu_discurso_4|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“在我们所穿越的土地上，在我们直面命运的战场上，在此时此刻，即便当我们所有人的生命都消逝了很久，人们仍然会在歌中传唱我们的名字。他们要歌颂我们在这个战场上创造的伟大和荣耀！”？
mno_defendiendo_1_fd|好的演讲，后退。
menu_discurso_5|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“兄弟们！你们生而成长为一个男人，昨天我们进军，今天我们将要战斗！今天我们要让敌人流血，让他们溃不成军。今天我们要粉碎敌人的盾牌。你们所经历过的每一天注定了今天的成就。今天我们像兄弟一样战斗，今夜我们要在敌人的桌子上举办盛宴！”
mno_defendiendo_1_gd|好的演讲，后退。
menu_discurso_6|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“战士们！我的兄弟们！瞧，我们已经走了这么多天，而战利品正等待着你们！财富，荣耀，都来自于敌人的痛苦呻吟！现在前进！向命运前进！夺取你的战利品！战斗！战斗！战斗！”
mno_defendiendo_1_hd|后退。
menu_discurso_7|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“朋友们！听我说！今天就是用我们敌人的血写下曲谱的时候！你们是自由的人！任何人都不可侵犯我们的土地，勇敢地站出来。在我们面前是巨大的挑战，但他们不是为了自己的家园而战，而是在掠夺你们的土地。他们一定会失败！准备好你的长矛！坚持住，永不屈服！懦夫没有荣誉！战斗至死，决不屈服！”
mno_defendiendo_1_id|好的演讲，后退。
menu_discurso_8|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“士兵们，我们正站在敌人的面前，准备好战斗。拿好你的剑！握紧你的枪！这个盾墙就是我们的家园，让我们欢迎敌人吧！让他来！让盾墙迎接他们！我们需要力量和勇气。在盾墙后坚守，我的兄弟们。我知道，在每个人的胸中都燃烧着怒火，以至于我敢说这些盾墙保护的是敌人而不是我们！我们的命运就是荣耀！没有人可以将它夺走！”
mno_defendiendo_1_jd|好的演讲，后退。
