dlga_start:blocked_agent|这人看起来很忙，也许我还是继续上路的好…… 
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|那么…… 你在我们上次分开之后都做了什么？
dlga_companion_recruit_meet_again:close_window|你好。
dlga_start:companion_recruit_secondchance|什么？
dlga_companion_recruit_secondchance:companion_recruit_backstory_b|如果我刚才举止粗鲁，我向你道歉，能再向我说一遍你的故事吗？
dlga_companion_recruit_secondchance:close_window|没事。
dlga_companion_recruit_backstory_delayed_response:companion_recruit_signup_b|我也许能让你留在我的队伍里。
dlga_companion_recruit_backstory_delayed_response:close_window|我会让你知道的，如果我有听到的话。
dlga_companion_recruit_signup_confirm:close_window|好！给我一点时间来准备，然后我就可以出发了。
dlga_start:companion_rehire|如果你需要我，我重新加入你的建议依然有效。
dlga_start:companion_rehire.1|真高兴你还活着，{s5} ！{s6} ，我不知道你是被捕了，被杀了，还是逃走了。从那之后我一直在找你。能让我重新收拾下家伙再次加入你的队伍吗？
dlga_start:companion_prison_break_chains|我是来带你逃离这的。
dlga_companion_prison_break_chains:close_window|谢天谢地你终于来了！但是，戴着我的脚镣我哪也去不了，你需要想办法从卫兵那儿弄到钥匙。
dlga_start:close_window.41|请你今天不要再浪费我的时间了，{reg59?女士:先生} 。可能我们在日后的旅途中会重逢。
dlga_start:companion_was_dismissed|真高兴你还活着，{s21} 。我本来希望可以跟你一起走的。
dlga_companion_was_dismissed:companion_rehire|{s5} ，你想要我重新加入你的盾墙嘛？
dlga_companion_rehire:companion_recruit_signup_confirm|欢迎回来，我的朋友！
dlga_companion_rehire:companion_rehire_refused|对不起，我不能再带任何其他的人走了。
dlga_companion_rehire_refused:close_window|那么，如果你改变了主意就来找我。好吧？
dlga_start:companion_rehire.3|那么…… 你还要我回来吗？
dlga_minister_issues:minister_pretalk|那有一件需要你关注的事情。{s11}和{s12}之间因为一点小事而在激烈的争吵着，在现在这种情况下变得非常不合时宜。如果你干预，你可能会得罪其中一个人。然而，如果你什么都不做。你会表现孱弱，这会对你的领导权带来严重的负面影响。{reg59?我的女士:先生} 。
dlga_minister_issues:minister_talk|{s1}现在没有领主。也许你希望让它就保持现状，因为领主们有时会被拥有可分封土地的君主所吸引，不过这样一来，那里就收不到任何税收了。
dlga_minister_issues:minister_talk.1|在这一点上，没有特别紧急的事情需要你来关注。但是我还是要提出，阁下，我对于政治手段不是很精通，所以我渴望能恢复平静的生活。如果你只是打算执行那些最基本的指令，我建议任命一位值得信任的同事来接替我。其间你还打算做些什么？
dlga_minister_issues:minister_talk.2|如果我可以给你一些关于大局规划的建议。我的{reg59?女士:大人} 。看起来你对成为一个独立的君主并没有足够的认识，而这可能会让我们走下坡路。有个好办法是同一个和你平等的，并且与你有共同利益并相识的北地国王，一起去寻找别的王国。
dlga_minister_issues:minister_talk.3|现在没有什么特别紧急的事情需要你去注意。你还有什么吩咐吗？
dlga_minister_pretalk:minister_talk|你还有什么吩咐吗？
dlga_minister_talk:combined_political_quests|你对加强我们王国的实力还有什么别的好的建议？
dlga_minister_talk:offer_gift_quest_complete|我已经有了给{s4}作为礼物的材料了。
dlga_offer_gift_quest_complete:close_window|啊，把那些东西给我。这有希望改善你们俩之间的争执。{reg4?她:他}也许会理你，就看我是否能成功了。
dlga_minister_talk:minister_cancel_political_quest|放弃“{s10} ”的计划。
dlga_minister_cancel_political_quest:minister_cancel_political_quest_confirm|你确定要放弃那个计划？
dlga_minister_cancel_political_quest_confirm:minister_pretalk|是的，我确定。放弃那个计划。
dlga_minister_cancel_political_quest_confirm:minister_pretalk.1|事实上，别再操心了。
dlga_minister_talk:minister_diplomatic_kingdoms|我想派遣一位使者。
dlga_minister_talk:minister_indict|我想以叛国的罪名指控一名对我不忠的封臣。
dlga_minister_talk:minister_change_marshal|我想撤销{s4}的元帅职务。
dlga_minister_talk:minister_change_marshal.1|我想指定一名新元帅。
dlga_minister_change_marshal:minister_pretalk|你刚刚做了这样一个决定，{reg59?我的女士:先生} 。如果您很快改变你的命令，就会有大的混乱。我们需要等待几天。
dlga_minister_talk:minister_premio1|我想要为你做了我的顾问而回报你。
dlga_minister_premio1:minister_premio2|谢谢您，{reg59?我的女士:先生} 。您有何想法呢？
dlga_minister_premio2:minister_premio3|这些手镯和戒指价值2500 先令。
dlga_minister_premio2:minister_premio3.1|我准备花5000 先令，来帮您买一些奴隶，助你完成任务。
dlga_minister_premio2:minister_premio3.2|一块好地价值10000 先令，承租人将支付你地租。
dlga_minister_premio2:minister_pretalk|哦，没什么，回到我们的工作中去吧。
dlga_minister_premio3:minister_pretalk|衷心的感谢你，{reg59?我的女士:先生} 。很高兴为您服务，现在我对我的职责更上心了呢。
dlga_minister_talk:minister_kingdom_report1|给我王国的报告。
dlga_minister_kingdom_report1:close_window|当然，{reg59?我的女士:先生} 。我已经准备好了。
dlga_minister_talk:minister_messenger_system1|我想要送一个信。
dlga_minister_messenger_system1:minister_messenger_system2|当然，{reg59?我的女士:先生} 。我们一个信使正在为您着手准备。你希望把信送给谁，我听说那地方并不太远。
dlga_minister_messenger_system2:minister_pretalk|不，没有人，也许以后也是。
dlga_minister_messenger_system3:close_window|好，你希望说什么？
dlga_minister_talk:minister_pretalk|让我检查下国库。
dlga_minister_talk:minister_taxrate|我希望改变我领土的税率。
dlga_minister_taxrate:minister_taxrate2|{reg59?我的女士:先生} ，记住，一个较高的税率会让统治产生动摇，引起骚乱，而较低的税率可能会消耗国库。你想做什么？
dlga_minister_taxrate2:minister_taxrate3|调成高税率。
dlga_minister_taxrate2:minister_taxrate3.1|调成低税率。
dlga_minister_taxrate2:minister_taxrate3.2|调成中等税率。
dlga_minister_taxrate2:minister_pretalk|保持原样。
dlga_minister_taxrate3:minister_pretalk|现在你的王国的税率是：{s11}
dlga_minister_talk:minister_controltax|我想让你雇佣人员来消除税收流失，你要确保让他们对你有所畏惧。
dlga_minister_controltax:minister_controltax2|雇用和维持雇工每周花费3000 先令，{reg59?我的女士:先生} ，你必须选择花费额外的费用雇佣新雇工，支付他们工资。
dlga_minister_controltax2:minister_controltax3|我已经决定招募这些人员了。
dlga_minister_controltax2:minister_pretalk|喔，我再了解一下吧。我要避免出现新的周支出，这太高了。
dlga_minister_controltax3:minister_pretalk|好，{reg59?我的女士:我的先生} 。从现在起你的所得税会更高，我保证。
dlga_minister_talk:minister_nocontroltax|辞退强制征税人员。
dlga_minister_nocontroltax:minister_nocontroltax2|解雇这些雇工将意味着税收减少，你确定吗？
dlga_minister_nocontroltax2:minister_nocontroltax3|是的，我不能忍受眼见着这么多先令飞出我们的钱包。
dlga_minister_nocontroltax2:minister_pretalk|啊，不。让我再考虑考虑。
dlga_minister_nocontroltax3:minister_pretalk|好，{reg59?我的女士:先生} ，他们将被解雇。
dlga_minister_talk:minister_prisionero1|派一个信使去付款释放囚犯。
dlga_minister_prisionero1:minister_prisionero2|我们支付赎金给谁？
dlga_minister_prisionero2:minister_pretalk|忘了这个吧。
dlga_minister_prisionero3:minister_prisionero4|我们准备多少赎金？我们还要为这项任务给信使增加400 先令工资。
dlga_minister_prisionero4:minister_prisionero5|3000 先令是一个好价钱。
dlga_minister_prisionero4:minister_prisionero5.1|他们肯定会接受8000 先令。
dlga_minister_prisionero4:minister_prisionero5.2|好，我想要确保我们的提议没问题。支付他们15000 先令。
dlga_minister_prisionero4:minister_pretalk|什么？那么多钱是必要的吗？上帝啊，然我们再想想吧！
dlga_minister_prisionero5:minister_pretalk|好，一个信使将送信给{s11} ，请求释放{s10} 。
dlga_minister_talk:minister_faith|我想要一份关于我的子民的虔诚度及其变化的报告。
dlga_minister_faith2:minister_pretalk|谢谢。
dlga_minister_talk:minister_basicnanksystem1|我要查看王国的金库。
dlga_minister_basicnanksystem1:minister_basicnanksystem2|你的国库资金为{reg0} 先令。^^你想要如何处理？
dlga_minister_basicnanksystem2:minister_basicnanksystem1|往国库增加1000 先令。
dlga_minister_basicnanksystem2:minister_basicnanksystem1.1|往国库增加5000 先令。
dlga_minister_basicnanksystem2:minister_basicnanksystem1.2|往国库增加10000 先令。
dlga_minister_basicnanksystem2:minister_basicnanksystem1.3|从国库取出1000 先令。
dlga_minister_basicnanksystem2:minister_basicnanksystem1.4|从国库取出5000 先令。
dlga_minister_basicnanksystem2:minister_basicnanksystem1.5|从国库取出10000 先令。
dlga_minister_basicnanksystem2:minister_pretalk|什么都不做。
dlga_minister_talk:minister_ask_about_war|这场战争进行的如何了？
dlga_minister_ask_about_war2:minister_ask_about_war_details|告诉我更多这场战争中关于{s1}的事。
dlga_minister_ask_about_war2:minister_pretalk|这就是我想要知道的全部，幸苦你了。
dlga_minister_talk:minister_training_lair0_tr|我想讨论一下关于我们兵士们的训练。
dlga_minister_training_lair0_tr:minister_training_lair0|我可以带领你的新兵，把他们打造成可以信赖的勇士。
dlga_minister_training_lair0:minister_training_lair3|我需要在驻地训练这些士兵。
dlga_minister_training_lair0:minister_training_lair4_stop|请停止在这儿训练这些人。
dlga_minister_training_lair0:minister_pretalk|算了。
dlga_minister_training_lair3:minister_training_lair3_a|是否允许我在允许的情况下采取替代的训练呢？
dlga_minister_training_lair3_a:minister_training_lair3_b|是。
dlga_minister_training_lair3_a:minister_training_lair3_b.1|不。
dlga_minister_training_lair3_b:minister_pretalk|好的，我会训练{s11}的新兵。把你想要训练的部队放在驻军名单底部。
dlga_minister_training_lair4_stop:minister_pretalk|是的，我的{reg59?女士:先生} ？
dlga_minister_talk:minister_replace|我想让你辞去首相之位。
dlga_minister_talk:minister_replace.1|我想让你重新归队。
dlga_minister_talk:minister_grant_fief|我要你去授予我的一名封臣一块封地。
dlga_minister_talk:minister_grant_self_fief|我想把{s4}留给自己。
dlga_minister_grant_self_fief:minister_pretalk|如你所愿。{s4}是你的了。
dlga_minister_talk:close_window|现在没事了。
dlga_minister_change_marshal:minister_change_marshal_choose|谁将成为新元帅？
dlga_minister_change_marshal_choose:minister_pretalk|我将成为新元帅
dlga_minister_change_marshal_choose:minister_pretalk.1|短暂的一段时间内，我们将没有元帅
dlga_minister_change_marshal_choose:minister_pretalk.3|没事
dlga_minister_diplomatic_kingdoms:minister_diplomatic_kingdoms_select|你希望谁作使者送过去？
dlga_minister_diplomatic_kingdoms:minister_pretalk|很不巧，现在没有人可以派遣。
dlga_minister_diplomatic_kingdoms_select:minister_diplomatic_initiative_type|{s11}{s14}的{s10}
dlga_minister_diplomatic_kingdoms_select:minister_pretalk|没事
dlga_minister_diplomatic_initiative_type:minister_diplomatic_initiative_type_select|你想告诉他什么？
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary|我们两国应该停战。
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.1|我想让自己处于他的庇护之下，成为他的封臣。
dlga_minister_diplomatic_initiative_type_select:minister_diplomatic_emissary.2|作为一名君王，我想表达我对别国的友好。
dlga_minister_diplomatic_initiative_type_select:minister_declare_war|我宣布和他开战。
dlga_minister_diplomatic_initiative_type_select:close_window|没事
dlga_minister_declare_war_confirm:minister_declare_war_confirm_yes|嗯，我希望在{s12}这里开战。
dlga_minister_declare_war_confirm:minister_pretalk|嗯，也许不是。
dlga_minister_declare_war_confirm_yes:minister_pretalk|遵照你的命令，我们正在跟{s12}交战，愿上帝赐予我们胜利。
dlga_minister_diplomatic_emissary:minister_emissary_select|谁做你的使者？你应该选一个你信仰的人，而且这人必须有足够的说服力，还应能在融洽的氛围中谈判。
dlga_minister_emissary_select:minister_pretalk|事实上，我想不出合适的人选。
dlga_minister_emissary_dispatch:minister_diplomatic_dispatch_confirm|很好— — 我会派{s11}到{s12}去{s14} 。
dlga_minister_diplomatic_dispatch_confirm:minister_pretalk|是的，照做吧。
dlga_minister_diplomatic_dispatch_confirm:minister_pretalk.1|先放一放再说吧。
dlga_minister_replace:minister_replace_select|非常好，你将任命谁代替我？
dlga_minister_replace_select:minister_replace_confirm.1|我的妻子，{s4} 。
dlga_minister_replace_select:minister_pretalk|先放一放再说吧。
dlga_minister_replace_confirm:close_window|非常好，{s9}是你的首相，我会很快重新加入你。
dlga_minister_replace_confirm:close_window.1|非常好，{s9}是你的首相。很荣幸为您服务。
dlga_minister_grant_fief:minister_grant_fief_select|{s12}你要将哪块封地封出去？{s12}
dlga_minister_grant_fief_select:minister_grant_fief_select_recipient|{s1}{s12}
dlga_minister_grant_fief_select:minister_pretalk|没事
dlga_minister_grant_fief_select_recipient:minister_grant_fief_select_recipient_choice|你将选择谁来领受这块封地？{s12}
dlga_minister_grant_fief_select_recipient_choice:minister_pretalk|没事
dlga_minister_grant_fief_complete:minister_pretalk|好的— — {s2}会领受{s1} 。
dlga_minister_indict:minister_indict_select|可怕的消息，{reg59?我的女士:我的先生} 。你认为谁计划背叛你？
dlga_minister_indict_select:minister_pretalk|没事。
dlga_minister_indict_confirm:minister_indict_confirm_answer|请深思熟虑一下，{reg59?我的女士:先生} 。如果您公开指控{s4}有谋反意图。你可能会发现其他人会对您的态度变得紧张起来。退一步讲，如果您确信{reg4?她:他} 意图背叛你，最好先下手为强，控制{reg4?她:他}的堡垒。
dlga_minister_indict_confirm_answer:minister_indict_conclude|我已经想得够久了，去宣布我的诉状！
dlga_minister_indict_confirm_answer:minister_pretalk|也许我应该再等一等。
dlga_minister_indict_conclude:minister_pretalk|这个决定已经公布了，{reg59?我的女士:先生} 。
dlga_center_captured_lord_advice:center_captured_lord_advice_2.1|{s12}我想把{s1}归为我自己所有。（封地:{s0} ）
dlga_center_captured_lord_advice:center_captured_lord_advice_2.2|{s66} ，你可以保留{s1} 。（封地:{s0} ）
dlga_center_captured_lord_advice_2:minister_issues|如您所愿，{reg59?我的女士:先生} 。{reg6?我:{reg7?你:{s11}}}将成为{s1}的新领主。
dlga_center_captured_lord_advice_2:close_window|嗯。好吧，{playername} 。我很看重你的意见。{reg6?我:{reg7?你:{s11}}}将会是{s1}的新{reg3?主人:主人} 。
dlga_event_triggered:reginhard_calm1|哦，主啊！主啊！他死了，我们杀了泰德。
dlga_event_triggered:reginhard_mission3_1|好了，{playername} ，你见过首领了，你知道他如何行事了。他只追求一件事情— — 力量，曾经他利用我来稳固他的权力，现在则是利用你。对他来说，咱们不过是廉价的工具和棋子。如果他发现你没有用或者成为威胁，他，肯尼莫的雅尔，会毫不犹豫的除掉你，就像曾经对我那样…… 
dlga_event_triggered:reginhard_postdoccingaca|肯尼莫的雅尔是一个野心勃勃并且极度危险的人，我很佩服你为了拯救和帮助道琴嘉而与他翻脸的果断，尽管这一切后果还是发生了，你是一个好人。^^弗里斯这片土地可能已经与我们为敌了，但我确信我们一定会找到我们的天命之地。
dlga_event_triggered:egil_mensajerey|{reg59?我的女士:先生} ，我已经将消息带给霍里克国王了，我认为如果我们有一些国王的人的支持是最好不过的，特别是在你有杀死斯温这个打算的情况下。好吧，希望我没有耽误您太多时间，但我认为这可能会导致一场战斗，所以，我希望你好好考虑下我的建议和我们的处境，邀请这些国王的手下加入。
dlga_egil_mensajerey:egil_mensajerey1|是的，我认为这是一个好建议。埃吉尔，谢谢你。
dlga_egil_mensajerey:egil_mensajerey2|不，我只是不希望你事先不问我就采取行动，你能理解吗？
dlga_egil_mensajerey:egil_mensajerey3|最好在我做出决定前提出你的建议，我希望有尽可能多的信息来避免犯错。
dlga_egil_mensajerey1:close_window|{s2}^^是的，我知道。我总是做出正确的决定。我可以成为一个和你一样出色的领导者，甚至可能做的更好。也许你应该让我来领导这支军队一段时间。
dlga_egil_mensajerey2:close_window|{s2}^^ ，嗯，我理解。你就是喜欢控制一切。好吧，这是你的决定。
dlga_egil_mensajerey3:close_window|{s2}^^你是对的，原谅我吧，我有时他冲动了，我不想因为我的草率危害整个团队，我将一如既往提供给你想要的咨询。
dlga_reginhard_calm1:reginhard_calm2|他讨厌并且决定开战。他让我们别无选择。
dlga_reginhard_calm2:reginhard_calm3|{s2}^^是的，他不听我的，雅尔欺骗了我，他告诉我想要与泰德会面并进行一次和平谈判，然而泰德比我更聪明，告诉我这是一个陷阱。在我的坚持下，泰德的兄弟同我一道去参加了这首领的秘密会议，所以…… 雅尔把泰德的兄弟做成了血鹰。
dlga_reginhard_calm3:reginhard_calm4|什么是血鹰？
dlga_reginhard_calm3:reginhard_calm42|他死得像一个勇士，到时间了，肯尼莫的雅尔还在等着我们。
dlga_reginhard_calm3:reginhard_calm43|他死得像一名勇士，但你活得像老鼠。离开我的队伍，把这消息告诉雅尔吧。
dlga_reginhard_calm4:reginhard_calm3|丹麦称之为波洛得奥恩。他们把受刑者所有的肋骨从脊柱一根根砍断拉开，然后扯出还鲜活的肺叶，样子像是展翅的鹰^这件事太可怕了！我希望你永远不会亲眼看见。
dlga_reginhard_calm42:reginhard_calm_finalcon|{s4}^^那么你是在为肯尼莫的雅尔卖命… 他最终得偿所愿。命运无常，无法抗拒，泰德已经死了，但你们现在是我的新家人。
dlga_reginhard_calm43:reginhard_calm_finalcon|{s4}^^是的，我是老鼠，但你也不见得更好。你利用我来找他。泰德是个好人。他唯一的罪恶是反抗丹麦并且争取自由^上帝原谅我吧！我接受我的命运！去跟你的雅尔说，然后，只要你愿意，我就会离开你的队伍。命运无常！
dlga_reginhard_calm_finalcon:reginhard_calm_finalcon2|命运无常！
dlga_reginhard_calm_finalcon2:close_window|命运无常！
dlga_reginhard_mission3_1:reginhard_mission3_2|我需要他去找牛颈斯温。
dlga_reginhard_mission3_1:reginhard_mission3_3|我对你的看法不感兴趣，收拾你的东西，然后滚吧。
dlga_reginhard_mission3_2:close_window|{s2}^^会有别的方法让我们不需要看别人脸色的。我们稍后再谈，一个骑手从道琴嘉来了。
dlga_reginhard_mission3_3:close_window|{s2}^^我知道，我的东西准备好了，你可以随时把我赶走，但是你现在需要担心别的，一个骑手从道琴嘉来了。
dlga_reginhard_postdoccingaca:reginhard_postdoccingaca2|我做了我该做的，肯尼莫的雅尔是个叛徒，我希望他远离我。
dlga_reginhard_postdoccingaca:reginhard_postdoccingaca3|如果我对所有领主都失去信心。我就不会去帮道琴嘉了。
dlga_reginhard_postdoccingaca:reginhard_postdoccingaca4|我现在不想谈了，雷因哈德。请见谅。
dlga_reginhard_postdoccingaca2:close_window|{s2}^^我告诉过你：他是一条毒蛇。现在你脱离了他，我们应该尽快离开弗里斯，我担心他会报复。我听说在海那边的麦西亚王国，他们正需要战士。
dlga_reginhard_postdoccingaca3:close_window|{s2}^^这些都是懦夫才说的话。我想你脑袋里太乱了，没有考虑清楚。我们以后再谈。
dlga_reginhard_postdoccingaca4:close_window|{s2}^^我了解了，我愿意在你身边服侍你，让我们走吧。
dlga_event_triggered:companion_quitting|对不起{s5} ，我有一些事情要跟你说。
dlga_companion_quitting_2:companion_quitting_response|告诉你真相，{s21} 。
dlga_companion_quitting_response:companion_quitting_yes|很好，那么你走吧。
dlga_companion_quitting_response:companion_quitting_persuasion|也许我可以劝你改变主意。
dlga_companion_quitting_response:close_window|谢谢你倾听。
dlga_companion_quitting_persuasion:close_window|嗯。如果你那么做，我想我可以再待一阵子，看看事情会不会变好。
dlga_companion_quitting_persuasion:companion_quitting_response|对不起，我不明白你的意思，我已经决意要离开了。不管你喜欢还是不喜欢。
dlga_companion_quitting_response:companion_quitting_no|现在，我们没有时间来讨论这些问题。
dlga_companion_quitting_no:companion_quitting_no_confirm|哦…… 对吧…… 你是那个意思么？
dlga_companion_quitting_no_confirm:companion_quitting_no_confirmed|就是这样。你要么乖乖离开，要么继续拿起盾牌战斗，你要选择哪一个？
dlga_companion_quitting_no_confirm:companion_quitting_yes|不，其实我不是那个意思。你随时可以走。
dlga_companion_quitting_yes:close_window|那么这就是告别了？也许我们会再见的，{playername} 。
dlga_companion_quitting_no_confirmed:close_window|嗯。那么，我要留下。
dlga_companion_objection_response:close_window|谢谢，我很欣赏你的看法。
dlga_companion_objection_response:close_window.1|希望那不要再发生了。
dlga_companion_objection_response:close_window.2|你的抗议无效。现在回到队伍里。
dlga_companion_personalityclash2_response:close_window|对于我们的队伍来说，{s11}是一个非常有价值的队员。我不想你再找{reg11?她:他}吵架了。
dlga_companion_personalityclash2_response:close_window.1|告诉{s11}对于这件事情我支持你，并且{reg11?她:他}应该闭上{reg11?她的:他的}嘴了。
dlga_companion_personalityclash2_response:close_window.2|我没时间和你说这些。
dlga_companion_personalityclash_response:close_window|{s11}在这个队伍里是一个很有能力的队员。我不想你再和{reg11?她:他}吵架了。
dlga_companion_personalityclash_response:close_window.1|告诉{s11}对于这件事情我支持你，并且{reg11?她:他}应该闭上{reg11?她的:他的}嘴了。
dlga_companion_personalityclash_response:close_window.2|我没时间和你说这些。
dlga_companion_personalitymatch_response:close_window|很好。
dlga_companion_sisterly_advice:close_window|谢谢。
dlga_companion_sisterly_advice:close_window.1|我不想再讨论这种事情。
dlga_companion_home_description:companion_home_description_2|再告诉我一些。
dlga_companion_home_description:close_window|我们现在没有时间闲聊。
dlga_companion_home_description:close_window.1|我更希望我们的交情不会受这些琐事的干扰。
dlga_rebel_thanks_answer:rebel_thanks_answer_2|为你而战是我的荣幸，{reg65?女士:大人} 。
dlga_rebel_thanks_answer:rebel_thanks_answer_2.1|你永远都是我忠心的支持者，{reg65?尊敬的女士:先生} 。
dlga_rebel_thanks_answer_2:close_window|我会想念和你一起冒险的时光，但是我还有职责在身。所以…… 再会了，{playername} 。我希望我们还能尽快相见。
dlga_companion_political_grievance_response:close_window|你的意见我记下了。
dlga_event_triggered:companion_rejoin_response|你好，{s21} 。你准备好让我重新加入你们了吗？
dlga_event_triggered:companion_rejoin_response.1|好，{s21} ，我终于找到你了！我一直在向人们宣传你的统治权，现在我准备好重新归队了。
dlga_event_triggered:companion_embassy_results|好，{s21} ，我终于找到你了！我完成{s31}的任务了，总的来说，我的意见是，{s14} 。
dlga_companion_embassy_results:companion_rejoin_response|在这封信中，{s12}将你称为{s4}的{reg59?女士:大人} ，这意味着在某种形式上承认你是一个主权独立的君主了。
dlga_companion_embassy_results:companion_rejoin_response.1|在这封信上，{s12}只是称呼你为{playername} ，没有任何头衔。他并没有对你的统治权力表示认可。
dlga_companion_embassy_results:companion_rejoin_response.2|{s12}表示你们目前已有停战协议，应该足够了。
dlga_companion_embassy_results:companion_rejoin_response.3|{s12}说他不愿意签订停战协议。
dlga_companion_embassy_results:companion_rejoin_response.4|{s12}说你已经向别的统治者宣誓过了。
dlga_companion_embassy_results:companion_rejoin_response.5|{s12}说他不相信你会履行自己的义务，并怀疑你的好意仅仅是一场阴谋。
dlga_companion_embassy_results:companion_truce_confirm|{s12}说他愿意停战。
dlga_companion_embassy_results:companion_rejoin_response.6|{s12} 说他无意议和。
dlga_companion_truce_confirm:companion_rejoin_response|很好，我们就签下和{s4}的停战协议吧。
dlga_companion_truce_confirm:companion_rejoin_response.1|仔细想想的话，也许目前这还不在我们的考虑范围之内…… 
dlga_companion_embassy_results:companion_rejoin_response.7|{s12} 说你已经向其他统治者效忠了。
dlga_companion_embassy_results:companion_rejoin_response.8|{s12} 说他相信你不会履行封臣的义务，你的提议不过是个笑话。
dlga_companion_embassy_results:vassalage_offer_confirm|{s12}说他接受你成为他封臣的请求。他会给你30天的时间去找他，在这段时间里他会避免和你开战。
dlga_vassalage_offer_confirm:companion_rejoin_response|告诉他，我接受他提出的条件。
dlga_event_triggered:companion_rejoin_response.2|好，{s21} ，我终于找到你了！{s11} 。这是我的报告。
dlga_companion_rejoin_response:close_window|欢迎回来，朋友！
dlga_companion_rejoin_response:companion_rejoin_refused|很不巧，我现在还不能跟你重归于好。
dlga_companion_rejoin_refused:close_window|随便你，我会去处理一些其它的事情，过一段时间我再来试试。
dlga_event_triggered:close_window.1|嘿，我能从这里看到{s3}的城墙了，我们已经安全，带着这{reg3} 先令，我保证，早晚有一天我们会重逢，再次一起旅行的。
dlga_event_triggered:close_window.2|抱歉，我还有事，请你以后再来找我吧…… （队伍NPC上限为10）
dlga_start:lord_start|尊敬的女士，我是如此期待我们的婚礼，只要举办婚宴的时机成熟，我们便可结为连理。{s12}
dlga_start:lord_start.1|尊敬的女士，如果你愿意和我结婚，我们可以在{s4}举行我们的婚礼，当着全王国领主的面交换誓约。
dlga_start:lord_start.2|尊敬的女士，我没有耐心再等待全王国的领主们集合了，和我一起去{s4}交换我们的誓约吧。
dlga_start:lord_start.3|尊敬的女士，我没有耐心再等待全王国的领主们集合了，也许我们应该马上结婚，在任何向我们开放的大厅都行。
dlga_start:lord_groom_vows|尊敬的女士，我没有耐心再等了，让我们立刻继续交换誓约吧。
dlga_start:lord_groom_vows.1|尊敬的女士，当我凝视着你，我眼中满是喜悦，让我们继续交换誓约吧。
dlga_lord_groom_vows:female_pc_marriage_vow|我的夫人，让议事会为我作证，我发誓要娶你为妻，尊重，珍惜，爱护你。愿上天赐予我们健康，繁荣和子嗣。
dlga_female_pc_marriage_vow:lord_groom_wedding_complete|我宣誓，从此你就是我的丈夫。
dlga_female_pc_marriage_vow:close_window|等一下，我需要再考虑考虑。
dlga_lord_groom_wedding_complete:close_window|我们现在是夫妻了，开始庆祝吧！
dlga_start:close_window.42|你把钱给艾达了吗？
dlga_start:close_window.43|我期待与你同行。
dlga_start:close_window.44|非常好，你很有道理，我没什么要说的了。
dlga_start:close_window.45|哈哈，{reg59?我的女士:先生} ！别费力从地上爬起来了，因为我会轻而易举地再次打倒你。我将你的沉默看作是道歉了，祝你也有顺当的一天，哈哈。
dlga_start:close_window.46|非常好，你很有道理，我收回我的话，希望你高兴。
dlga_start:close_window.47|哈！我们都没有那么勇敢，是吧？现在别烦着我了。
dlga_start:close_window.48|非常好— — 你赢了，今天在场的各位都可以作证，你击败了我，看来我不得不放弃我的{s10}了，她是你的了。满意了吗，你这个没心没肺的混蛋？
dlga_start:close_window.49|起来。让今天在座的各位都来见证我打败了你，现在你将放弃你的{s10} 。我会允许你最后一次见她，让你告别。之后，如果你坚持还要再见到她，可别忘了自己发下的誓言。
dlga_start:player_siege_castle_commander_1|你想干什么？
dlga_player_siege_castle_commander_1:player_siege_ask_surrender|投降！这个情形你已经没有希望了。
dlga_player_siege_castle_commander_1:player_hostage_surrender|我要求你投降，以此作为{s11}安全返回的条件。
dlga_player_siege_castle_commander_1:player_siege_tributo|我现在给你一个正当的机会，来达成停止攻城的协议。给我们上贡，我们就离开。
dlga_player_siege_castle_commander_1:close_window|没什么。我现在就离开你。
dlga_player_siege_ask_surrender:close_window|投降？这是个笑话吗？就你的这点人还想拿下这座要塞？
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_accept|你得到我的承诺了，离开这座城堡，你不会受到我们的任何攻击。
dlga_player_siege_ask_leave_unmolested_accept:close_window|好吧。我们会离开这个堡垒。你今天赢了，但我们还会再见面的！
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|我不接受。我需要人质作为担保。
dlga_player_siege_ask_leave_unmolested_reject:close_window|那么我们将拼死守卫这个堡垒，谈判结束，再见。
dlga_player_hostage_surrender:close_window|我们不会上你的当！我们会誓死战斗，直至最后一人！
dlga_player_hostage_surrender:close_window.1|我们的领主不会原谅我们接受这个条件的。我们必须战斗。
dlga_player_hostage_surrender:player_hostage_surrender_accepted|好的，我们将离开{S12} ，作为释放我们领主的条件。
dlga_player_hostage_surrender:close_window.2|我们的领主不会原谅我们接受这个条件的。我们必须战斗。
dlga_player_hostage_surrender_accepted:player_hostage_surrender_accepted2|我释放了你的领主，现在离开{s12} 。
dlga_player_hostage_surrender_accepted2:close_window|非常好，现在我们离开了，这个地方归你了，今天算你赢了。
dlga_player_hostage_surrender_accepted:player_hostage_surrender_accepted3|不，我还是要留在这里，与我们的领主并肩作战。
dlga_player_hostage_surrender_accepted3:close_window|那么我们将拼死守卫这个堡垒，谈判结束，再见。
dlga_player_siege_tributo:player_siege_tributo2|也许… 我们可以在财务问题上达成一致。
